Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,1054,1,3,0.002635199124566112,0.002635,,1
F2,200000,200000,1990,1,3,0.009949722831981367,0.00995,,3
F3,400000,400000,6033,1,3,0.015083485227020299,0.0150825,,2
F4,400000,400000,3461,1,3,0.008652317965353262,0.0086525,,3
F5,50000,50000,3101,1,3,0.06201870755498162,0.06202,,2
F6,400000,400000,4087,1,3,0.010217070738998801,0.0102175,,6
F7,100000,100000,4459,1,3,0.04459055907180176,0.04459,,7
F8,100000,100000,895,1,3,0.008949174387017367,0.00895,,7
F9,100000,100000,1105,1,3,0.011049547853108188,0.01105,,7
F10,400000,400000,795,1,3,0.0019866589905394028,0.0019875,,2
F11,200000,200000,6694,1,3,0.03346939453516429,0.03347,,2
F12,400000,400000,3545,1,3,0.008861519530308004,0.0088625,,6
F13,200000,200000,9611,1,3,0.048053408531519404,0.048055,,3
F14,200000,200000,8933,1,3,0.04466469496374614,0.044665,,2
F15,100000,100000,1546,1,3,0.015461214877001694,0.01546,,3
F16,100000,100000,8248,1,3,0.08248419653610095,0.08248,,7
F17,200000,200000,10032,1,3,0.050160476579035884,0.05016,,6
F18,400000,400000,2966,1,3,0.0074154972775618555,0.007415,,5
F19,200000,200000,10137,1,3,0.050685345329664844,0.050685,,5
F20,200000,200000,7899,1,3,0.0394960911176403,0.039495,,3
F21,50000,50000,711,1,3,0.014220146407780354,0.01422,,1
F22,400000,400000,6979,1,3,0.017447747001839486,0.0174475,,5
F23,100000,100000,10603,1,3,0.1060280374660203,0.10603,,3
F24,100000,100000,3464,1,3,0.034639435146248176,0.03464,,6
F25,200000,200000,2028,1,3,0.010139540008326453,0.01014,,5
F26,400000,400000,7790,1,3,0.019473775230346935,0.019475,,7
F27,200000,200000,11452,1,3,0.05725945811900113,0.05726,,2
F28,100000,100000,5941,1,3,0.0594119002960711,0.05941,,6
F29,50000,50000,5602,1,3,0.11203975281390893,0.11204,,2
F30,200000,200000,8420,1,3,0.042101353739112696,0.0421,,5
F31,400000,400000,7208,1,3,0.01802090640601907,0.01802,,6
F32,200000,200000,10667,1,3,0.05333366434221391,0.053335,,7
