Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,200000,200000,11649,1,3,0.05824510724850218,0.058245,,5
F2,100000,100000,3789,1,3,0.037890538555313436,0.03789,,3
F3,100000,100000,3309,1,3,0.03308880342271603,0.03309,,5
F4,100000,100000,618,1,3,0.006180463630544031,0.00618,,6
F5,400000,400000,9701,1,3,0.02425165730672829,0.0242525,,2
F6,100000,100000,7825,1,3,0.07824583623757053,0.07825,,2
F7,400000,400000,867,1,3,0.002167540181763683,0.0021675,,1
F8,200000,200000,3656,1,3,0.01827994059796123,0.01828,,2
F9,400000,400000,4871,1,3,0.012178606883870624,0.0121775,,7
F10,400000,400000,2101,1,3,0.005252402362328268,0.0052525,,3
F11,100000,100000,7769,1,3,0.07769409685564688,0.07769,,7
F12,100000,100000,10193,1,3,0.1019305932388962,0.10193,,2
F13,50000,50000,2744,1,3,0.05487863138975091,0.05488,,2
F14,400000,400000,748,1,3,0.0018693209669891075,0.00187,,6
F15,200000,200000,7219,1,3,0.03609433818984065,0.036095,,2
F16,100000,100000,9421,1,3,0.09421053726286222,0.09421,,4
F17,200000,200000,4571,1,3,0.022854459926988924,0.022855,,7
F18,100000,100000,4445,1,3,0.04445181901198808,0.04445,,4
F19,200000,200000,2562,1,3,0.012810074702375218,0.01281,,3
F20,200000,200000,7696,1,3,0.038479893261069986,0.03848,,5
F21,200000,200000,6805,1,3,0.03402700863917357,0.034025,,7
F22,200000,200000,4837,1,3,0.024183937746845796,0.024185,,4
F23,400000,400000,1099,1,3,0.0027486348566541086,0.0027475,,5
F24,400000,400000,11553,1,3,0.0288820774343978,0.0288825,,3
F25,200000,200000,7069,1,3,0.035343002759878284,0.035345,,4
F26,400000,400000,6198,1,3,0.01549388307877711,0.015495,,1
F27,400000,400000,5081,1,3,0.012703227904748787,0.0127025,,4
F28,400000,400000,7644,1,3,0.019110679252724028,0.01911,,6
F29,200000,200000,9487,1,3,0.047434673447615455,0.047435,,3
F30,100000,100000,6340,1,3,0.06340169136994261,0.0634,,4
F31,400000,400000,6205,1,3,0.015511294192354266,0.0155125,,5
F32,200000,200000,8021,1,3,0.04010522808318181,0.040105,,7
