Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,800000,800000,7273,1,3,0.0090916499245762,0.00909125,3.999245762279641e-07,3,3
F2,800000,800000,10341,1,3,0.0129262547475912,0.01292625,4.747591236808901e-09,2,3
F3,400000,400000,6081,1,3,0.0152028352292389,0.0152025,3.352292389305345e-07,4,6
F4,800000,800000,3527,1,3,0.0044093725316822,0.00440875,6.225316822759328e-07,3,3
F5,100000,100000,3040,1,3,0.0304001883451969,0.0304,1.8834519697683016e-07,3,24
F6,200000,200000,792,1,3,0.0039596814463682,0.00396,3.1855363173162454e-07,6,12
F7,200000,200000,8608,1,3,0.043037849985235,0.04304,2.150014764924768e-06,1,12
F8,400000,400000,11313,1,3,0.0282830647333069,0.0282825,5.647333069964955e-07,2,6
F9,200000,200000,877,1,3,0.0043854780874537,0.004385,4.780874537091417e-07,3,12
F10,800000,800000,2129,1,3,0.0026615447288993,0.00266125,2.947288993454707e-07,7,3
F11,400000,400000,10977,1,3,0.0274433780179528,0.0274425,8.780179528225518e-07,6,6
F12,800000,800000,6715,1,3,0.0083934825207138,0.00839375,2.674792861871028e-07,6,3
F13,800000,800000,1317,1,3,0.001645641256781,0.00164625,6.087432189835675e-07,4,3
F14,800000,800000,3291,1,3,0.0041135659736279,0.00411375,1.8402637200296693e-07,1,3
F15,800000,800000,5857,1,3,0.0073217403238486,0.00732125,4.90323848691479e-07,1,3
F16,800000,800000,5425,1,3,0.0067813388694569,0.00678125,8.88694569765522e-08,4,3
F17,200000,200000,6261,1,3,0.0313066735233769,0.031305,1.6735233769049618e-06,6,12
F18,400000,400000,7150,1,3,0.0178760760270935,0.017875,1.0760270935140923e-06,1,6
F19,800000,800000,8793,1,3,0.0109911315915789,0.01099125,1.1840842105946549e-07,6,3
F20,800000,800000,5175,1,3,0.006469189396061,0.00646875,4.393960610039535e-07,7,3
F21,800000,800000,7943,1,3,0.0099284333437963,0.00992875,3.166562036610588e-07,1,3
F22,800000,800000,4045,1,3,0.0050559812135447,0.00505625,2.68786455219841e-07,1,3
F23,800000,800000,1178,1,3,0.0014720689477111,0.0014725,4.310522888752253e-07,4,3
F24,100000,100000,2720,1,3,0.0271993350505206,0.0272,6.649494793085908e-07,3,24
F25,800000,800000,6465,1,3,0.0080813864418633,0.00808125,1.364418633475334e-07,7,3
F26,800000,800000,2841,1,3,0.0035514852833588,0.00355125,2.3528335885711699e-07,2,3
F27,400000,400000,4098,1,3,0.0102453713443945,0.010245,3.7134439451538825e-07,3,6
F28,100000,100000,3198,1,3,0.0319818568555673,0.03198,1.8568555673129092e-06,2,24
F29,200000,200000,3662,1,3,0.0183111087179356,0.01831,1.1087179356203405e-06,6,12
F30,400000,400000,2239,1,3,0.0055973186342455,0.0055975,1.8136575449280437e-07,2,6
F31,100000,100000,4424,1,3,0.0442411848607648,0.04424,1.1848607648357046e-06,6,24
F32,400000,400000,3059,1,3,0.0076473499579176,0.0076475,1.500420823957044e-07,4,6
F33,800000,800000,3091,1,3,0.0038642115195471,0.00386375,4.615195471338249e-07,5,3
F34,800000,800000,600,1,3,0.0001348507942642,0.00075,0.0006151492057357,7,3
F35,400000,400000,7475,1,3,0.0186876787405563,0.0186875,1.787405563245803e-07,7,6
F36,400000,400000,11683,1,3,0.0292084974946384,0.0292075,9.974946384959382e-07,1,6
F37,200000,200000,9227,1,3,0.0461343205283008,0.046135,6.794716991484484e-07,2,12
F38,200000,200000,10656,1,3,0.0532793454593931,0.05328,6.545406068605986e-07,1,12
F39,800000,800000,6013,1,3,0.0075168280884818,0.00751625,5.780884818080284e-07,2,3
F40,400000,400000,4334,1,3,0.0108350792875062,0.010835,7.928750629486447e-08,4,6
F41,800000,800000,4203,1,3,0.0052536105699666,0.00525375,1.3943003337839321e-07,6,3
F42,800000,800000,11808,1,3,0.0147600091285403,0.01476,9.128540335093251e-09,3,3
F43,200000,200000,3905,1,3,0.0195261125133113,0.019525,1.1125133113215613e-06,2,12
F44,200000,200000,9951,1,3,0.0497556375391724,0.049755,6.375391724336432e-07,1,12
F45,200000,200000,10249,1,3,0.051244912934061,0.051245,8.706593892376936e-08,1,12
F46,400000,400000,9246,1,3,0.0231149926327833,0.023115,7.367216683928923e-09,1,6
F47,800000,800000,9515,1,3,0.0118941813820396,0.01189375,4.3138203962775356e-07,2,3
F48,800000,800000,9667,1,3,0.0120837402456537,0.01208375,9.754346297699557e-09,7,3
