Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,400000,400000,8262,1,3,0.0206548219091715,0.020655,1.780908284385041e-07,2,6
F2,800000,800000,9459,1,3,0.0118232911169656,0.01182375,4.588830343262712e-07,3,3
F3,200000,200000,7109,1,3,0.0355469723877424,0.035545,1.9723877424035474e-06,3,12
F4,800000,800000,6259,1,3,0.007824155285338,0.00782375,4.052853380849542e-07,1,3
F5,400000,400000,887,1,3,0.0022180892187974,0.0022175,5.892187974034305e-07,7,6
F6,400000,400000,8713,1,3,0.0217823356770133,0.0217825,1.643229866239715e-07,4,6
F7,800000,800000,3091,1,3,0.0038640013109573,0.00386375,2.513109573212477e-07,2,3
F8,800000,800000,2531,1,3,0.0031631445191427,0.00316375,6.054808572089621e-07,5,3
F9,800000,800000,7483,1,3,0.0093531416214599,0.00935375,6.083785400508995e-07,2,3
F10,800000,800000,1657,1,3,0.0020711492065284,0.00207125,1.0079347160033004e-07,2,3
F11,200000,200000,10103,1,3,0.0505129150461468,0.050515,2.0849538531417244e-06,4,12
F12,800000,800000,1691,1,3,0.002113710922183,0.00211375,3.907781695716012e-08,4,3
F13,200000,200000,7738,1,3,0.0386875975224656,0.03869,2.4024775343578497e-06,6,12
F14,400000,400000,2689,1,3,0.0067229487069337,0.0067225,4.487069337954716e-07,3,6
F15,800000,800000,2229,1,3,0.0027864986252215,0.00278625,2.486252215117176e-07,3,3
F16,400000,400000,7620,1,3,0.0190509693668584,0.01905,9.693668584602466e-07,7,6
F17,100000,100000,5920,1,3,0.0592001324059499,0.0592,1.3240594989860632e-07,6,24
F18,200000,200000,1282,1,3,0.0064100267225255,0.00641,2.6722525552601292e-08,7,12
F19,400000,400000,3137,1,3,0.0078429520818301,0.0078425,4.520818301118751e-07,7,6
F20,200000,200000,11008,1,3,0.0550375776085682,0.05504,2.4223914317986206e-06,6,12
F21,400000,400000,11353,1,3,0.0283823851754916,0.0283825,1.1482450831476477e-07,6,6
F22,400000,400000,1172,1,3,0.0029296892867867,0.00293,3.107132132257849e-07,6,6
F23,800000,800000,3225,1,3,0.0040310628010759,0.00403125,1.871989240981309e-07,5,3
F24,800000,800000,850,1,3,0.0010626143054854,0.0010625,1.1430548543193281e-07,3,3
F25,100000,100000,6284,1,3,0.0628362189387768,0.06284,3.7810612231597984e-06,6,24
F26,800000,800000,7411,1,3,0.0092641254917283,0.00926375,3.754917283372433e-07,5,3
F27,800000,800000,8694,1,3,0.0108669578149137,0.0108675,5.421850862979277e-07,1,3
F28,200000,200000,6461,1,3,0.0323063714850124,0.032305,1.371485012419127e-06,2,12
F29,400000,400000,11543,1,3,0.0288566110113536,0.0288575,8.889886463289698e-07,7,6
F30,800000,800000,1197,1,3,0.0014961013303048,0.00149625,1.486696951890059e-07,6,3
F31,800000,800000,3569,1,3,0.0044612618258023,0.00446125,1.1825802365139635e-08,2,3
F32,800000,800000,2203,1,3,0.0027539673125644,0.00275375,2.173125644424831e-07,1,3
F33,400000,400000,5877,1,3,0.0146919664531854,0.0146925,5.335468145108158e-07,6,6
F34,800000,800000,600,1,3,0.0001287244615754,0.00075,0.0006212755384245,1,3
F35,100000,100000,1084,1,3,0.0108405013466055,0.01084,5.013466055792809e-07,3,24
F36,800000,800000,4565,1,3,0.0057061122149896,0.00570625,1.377850103222514e-07,6,3
F37,200000,200000,5298,1,3,0.0264909669196413,0.02649,9.66919641395836e-07,1,12
F38,400000,400000,3484,1,3,0.0087097848661023,0.00871,2.1513389767378882e-07,4,6
F39,400000,400000,11103,1,3,0.0277578958956044,0.0277575,3.95895604483193e-07,3,6
F40,400000,400000,4105,1,3,0.0102628266581491,0.0102625,3.2665814917592906e-07,6,6
F41,800000,800000,2661,1,3,0.0033264536810724,0.00332625,2.0368107248296827e-07,4,3
F42,800000,800000,1595,1,3,0.0019935815498117,0.00199375,1.6845018828166167e-07,7,3
F43,800000,800000,8909,1,3,0.0111358255199019,0.01113625,4.244800980574004e-07,5,3
F44,200000,200000,7824,1,3,0.0391222719375511,0.03912,2.271937551132086e-06,7,12
F45,100000,100000,5415,1,3,0.054147587201493,0.05415,2.412798506976066e-06,2,24
F46,400000,400000,1759,1,3,0.0043968952751775,0.0043975,6.047248224064911e-07,4,6
F47,200000,200000,6548,1,3,0.0327403790327673,0.03274,3.7903276736694913e-07,4,12
F48,800000,800000,1705,1,3,0.0021315272442251,0.00213125,2.772442251157415e-07,5,3
