Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,6485,1,3,0.016212884115537785,0.0162125,,3
F2,200000,200000,1258,1,3,0.006289130513444041,0.00629,,5
F3,400000,400000,1311,1,3,0.0032773901654900017,0.0032775,,4
F4,400000,400000,890,1,3,0.0022256967499619806,0.002225,,4
F5,50000,50000,1171,1,3,0.023420723059598192,0.02342,,3
F6,200000,200000,6457,1,3,0.032284944822489,0.032285,,1
F7,200000,200000,1199,1,3,0.005994422315893755,0.005995,,6
F8,200000,200000,10211,1,3,0.051053979406787464,0.051055,,5
F9,200000,200000,10482,1,3,0.052411462008380094,0.05241,,1
F10,400000,400000,600,1,3,0.00023795541610716064,0.0015,,5
F11,200000,200000,7995,1,3,0.03997575906302364,0.039975,,4
F12,400000,400000,600,1,3,0.0010065835858695804,0.0015,,7
F13,50000,50000,2513,1,3,0.05026092086119016,0.05026,,4
F14,200000,200000,5384,1,3,0.026920401680042172,0.02692,,2
F15,200000,200000,2101,1,3,0.010504512535940647,0.010505,,7
F16,100000,100000,5867,1,3,0.05867173706394008,0.05867,,3
F17,100000,100000,3109,1,3,0.03109166498720356,0.03109,,5
F18,400000,400000,4966,1,3,0.012414759980434509,0.012415,,2
F19,100000,100000,4727,1,3,0.04726926014509847,0.04727,,3
F20,100000,100000,6949,1,3,0.06949243906695562,0.06949,,5
F21,400000,400000,600,1,3,0.0005470737059211639,0.0015,,6
F22,200000,200000,4642,1,3,0.023209037994076198,0.02321,,1
F23,400000,400000,6561,1,3,0.016401864994349646,0.0164025,,4
F24,50000,50000,3110,1,3,0.06219582595024939,0.0622,,5
F25,200000,200000,7419,1,3,0.037095901804180764,0.037095,,3
F26,400000,400000,986,1,3,0.002465715190766854,0.002465,,1
F27,400000,400000,8748,1,3,0.02187057445967716,0.02187,,5
F28,200000,200000,9397,1,3,0.04698388994404046,0.046985,,5
F29,400000,400000,9485,1,3,0.023712628894161217,0.0237125,,4
F30,200000,200000,8367,1,3,0.04183253629259011,0.041835,,1
F31,100000,100000,1643,1,3,0.01642995602453124,0.01643,,2
F32,400000,400000,2895,1,3,0.007237295917973303,0.0072375,,1
