Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,200000,200000,1545,1,3,0.0077240365446994,0.007725,,6
F2,200000,200000,6531,1,3,0.0326542284642894,0.032655,,4
F3,400000,400000,6331,1,3,0.015827243140597,0.0158275,,6
F4,200000,200000,8461,1,3,0.0423025239867098,0.042305,,5
F5,200000,200000,2167,1,3,0.0108357834031153,0.010835,,6
F6,400000,400000,672,1,3,0.0016791660050997,0.00168,,3
F7,200000,200000,10598,1,3,0.0529912965219316,0.05299,,3
F8,400000,400000,600,1,3,0.0013796946906559,0.0015,,6
F9,100000,100000,9621,1,3,0.0962104326121123,0.09621,,3
F10,400000,400000,979,1,3,0.0024465569270886,0.0024475,,3
F11,400000,400000,4569,1,3,0.0114228972723703,0.0114225,,3
F12,400000,400000,1839,1,3,0.0045987023213184,0.0045975,,5
F13,200000,200000,11286,1,3,0.0564313992047214,0.05643,,3
F14,100000,100000,761,1,3,0.0076108484208157,0.00761,,3
F15,400000,400000,4804,1,3,0.0120090949175108,0.01201,,5
F16,400000,400000,600,1,3,0.0002090159711374,0.0015,,1
F17,100000,100000,1067,1,3,0.0106702280175323,0.01067,,4
F18,200000,200000,7123,1,3,0.0356138003759083,0.035615,,6
F19,50000,50000,4799,1,3,0.0959757605487456,0.09598,,3
F20,400000,400000,8607,1,3,0.0215180876081212,0.0215175,,6
F21,400000,400000,1181,1,3,0.0029524207166944,0.0029525,,6
F22,400000,400000,2280,1,3,0.0057007947495038,0.0057,,7
F23,400000,400000,698,1,3,0.0017440873603197,0.001745,,4
F24,400000,400000,676,1,3,0.0016900079890824,0.00169,,2
F25,200000,200000,8251,1,2,0.0412530772157589,0.041255,,3
F26,400000,400000,600,1,2,0.0004009053294162,0.0015,,4
F27,400000,400000,7967,1,2,0.0199183517892168,0.0199175,,4
F28,400000,400000,1919,1,2,0.0047971384914293,0.0047975,,1
F29,200000,200000,11337,1,2,0.0566838274429202,0.056685,,3
F30,400000,400000,4799,1,2,0.0119971181693159,0.0119975,,3
F31,400000,400000,4690,1,2,0.0117238912342974,0.011725,,2
F32,200000,200000,2640,1,2,0.0132005465587451,0.0132,,2
F33,200000,200000,2303,1,2,0.0115153006340903,0.011515,,5
F34,200000,200000,1394,1,2,0.006970417886324,0.00697,,5
F35,100000,100000,1772,1,2,0.0177191691417845,0.01772,,5
F36,200000,200000,1225,1,2,0.0061251349375943,0.006125,,2
F37,400000,400000,2669,1,2,0.0066725901865534,0.0066725,,4
F38,400000,400000,5025,1,2,0.012561301214145,0.0125625,,6
F39,200000,200000,7243,1,2,0.0362157650125856,0.036215,,5
F40,400000,400000,3983,1,2,0.0099583148906968,0.0099575,,2
F41,400000,400000,6858,1,2,0.0171443320140401,0.017145,,3
F42,100000,100000,1449,1,2,0.0144890694592576,0.01449,,4
F43,200000,200000,10739,1,2,0.0536952812090069,0.053695,,3
F44,400000,400000,11607,1,2,0.0290185186251989,0.0290175,,5
F45,200000,200000,6117,1,2,0.0305868085847677,0.030585,,3
F46,400000,400000,4727,1,2,0.0118171879375186,0.0118175,,4
F47,400000,400000,7399,1,2,0.0184981631073303,0.0184975,,2
F48,200000,200000,6241,1,2,0.0312046088488861,0.031205,,2
