Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,2174,1,3,0.0054355951843945,0.005435,,3
F2,50000,50000,5435,1,3,0.1086951613734865,0.1087,,6
F3,400000,400000,5533,1,3,0.0138330121542964,0.0138325,,5
F4,400000,400000,600,1,3,0.0014570243895877,0.0015,,1
F5,400000,400000,600,1,3,0.0005441631568127,0.0015,,5
F6,400000,400000,8215,1,3,0.020537511016471,0.0205375,,3
F7,200000,200000,1111,1,3,0.0055542389808661,0.005555,,2
F8,200000,200000,6281,1,3,0.0314029051660538,0.031405,,7
F9,400000,400000,600,1,3,0.0005153329649326,0.0015,,2
F10,100000,100000,4633,1,3,0.0463319950106311,0.04633,,7
F11,400000,400000,1019,1,3,0.0025486070281348,0.0025475,,2
F12,100000,100000,7359,1,3,0.073587032196462,0.07359,,6
F13,400000,400000,4714,1,3,0.0117857171630414,0.011785,,6
F14,200000,200000,5139,1,3,0.0256951210089318,0.025695,,2
F15,400000,400000,8203,1,3,0.0205083342129926,0.0205075,,1
F16,50000,50000,2241,1,3,0.0448187119192371,0.04482,,2
F17,400000,400000,5203,1,3,0.0130080969191702,0.0130075,,2
F18,400000,400000,600,1,3,0.001015095399645,0.0015,,7
F19,400000,400000,3103,1,3,0.0077566548798423,0.0077575,,5
F20,400000,400000,2782,1,3,0.0069538773616828,0.006955,,5
F21,200000,200000,4133,1,3,0.0206662443097706,0.020665,,7
F22,400000,400000,600,1,3,0.0002959606097518,0.0015,,1
F23,400000,400000,7583,1,3,0.018957868503345,0.0189575,,2
F24,400000,400000,1653,1,3,0.004131438892662,0.0041325,,6
F25,400000,400000,7062,1,2,0.0176561335370946,0.017655,,3
F26,400000,400000,903,1,2,0.0022564513972236,0.0022575,,7
F27,400000,400000,6771,1,2,0.0169281201535118,0.0169275,,7
F28,400000,400000,3959,1,2,0.009896304833152,0.0098975,,1
F29,200000,200000,1387,1,2,0.0069353964747524,0.006935,,1
F30,400000,400000,4463,1,2,0.0111586726589819,0.0111575,,7
F31,100000,100000,5161,1,2,0.0516095728430425,0.05161,,7
F32,100000,100000,682,1,2,0.0068192679329184,0.00682,,7
F33,400000,400000,7323,1,2,0.0183076967872961,0.0183075,,6
F34,200000,200000,9765,1,2,0.0488260133980482,0.048825,,6
F35,400000,400000,661,1,2,0.0016530217509218,0.0016525,,1
F36,400000,400000,11982,1,2,0.0299548158723755,0.029955,,3
F37,400000,400000,6149,1,2,0.0153732201996237,0.0153725,,1
F38,400000,400000,9347,1,2,0.0233686060215891,0.0233675,,6
F39,400000,400000,4242,1,2,0.0106039526405118,0.010605,,3
F40,200000,200000,3835,1,2,0.0191754743816979,0.019175,,5
F41,200000,200000,1160,1,2,0.0058008084929812,0.0058,,6
F42,100000,100000,6018,1,2,0.0601795595335423,0.06018,,6
F43,50000,50000,3030,1,2,0.0605988571633022,0.0606,,6
F44,100000,100000,4297,1,2,0.0429719136637994,0.04297,,6
F45,400000,400000,600,1,2,0.0007777186429318,0.0015,,5
F46,400000,400000,686,1,2,0.0017143801253831,0.001715,,5
F47,100000,100000,5323,1,2,0.0532284209838695,0.05323,,6
F48,200000,200000,1217,1,2,0.0060856605455864,0.006085,,3
