Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,400000,400000,9621,1,3,0.0240513524437091,0.0240525,1.1475562908501435e-06,3,6
F2,100000,100000,613,1,3,0.0061302977083779,0.00613,2.977083779186207e-07,6,24
F3,800000,800000,8306,1,3,0.0103824038154255,0.0103825,9.618457445445538e-08,6,3
F4,400000,400000,11811,1,3,0.0295271583907326,0.0295275,3.4160926739093544e-07,3,6
F5,800000,800000,10036,1,3,0.0125444869045074,0.012545,5.130954925103293e-07,2,3
F6,200000,200000,10524,1,3,0.0526218061206918,0.05262,1.8061206918940087e-06,1,12
F7,800000,800000,8915,1,3,0.0111442626164375,0.01114375,5.126164375288816e-07,1,3
F8,800000,800000,1389,1,3,0.0017366306180522,0.00173625,3.806180522928498e-07,6,3
F9,800000,800000,3877,1,3,0.0048460356754176,0.00484625,2.1432458236284038e-07,7,3
F10,800000,800000,10627,1,3,0.0132833947621261,0.01328375,3.552378738565232e-07,6,3
F11,100000,100000,3136,1,3,0.0313590494634774,0.03136,9.505365225481732e-07,2,24
F12,200000,200000,5828,1,3,0.0291402118885784,0.02914,2.1188857840526157e-07,6,12
F13,400000,400000,9417,1,3,0.02354339399095,0.0235425,8.939909500668697e-07,6,6
F14,400000,400000,5909,1,3,0.0147723510458854,0.0147725,1.489541145201917e-07,2,6
F15,100000,100000,4829,1,3,0.0482920681504255,0.04829,2.0681504255271044e-06,2,24
F16,400000,400000,9983,1,3,0.0249565303408081,0.0249575,9.696591918642583e-07,2,6
F17,200000,200000,1123,1,3,0.0056155867400071,0.005615,5.867400071721957e-07,3,12
F18,800000,800000,2512,1,3,0.0031395547288056,0.00314,4.452711943286718e-07,3,3
F19,200000,200000,993,1,3,0.0049647891333489,0.004965,2.1086665103180885e-07,5,12
F20,800000,800000,3378,1,3,0.0042219601432584,0.0042225,5.398567415144592e-07,4,3
F21,400000,400000,6139,1,3,0.015347634947937,0.0153475,1.3494793706103625e-07,1,6
F22,200000,200000,6702,1,3,0.0335083110000269,0.03351,1.6889999730623773e-06,2,12
F23,400000,400000,4301,1,3,0.0107526223530864,0.0107525,1.223530864385286e-07,5,6
F24,800000,800000,4079,1,3,0.0050991138380961,0.00509875,3.638380961365137e-07,4,3
F25,200000,200000,9944,1,3,0.0497223646896013,0.04972,2.364689601394576e-06,6,12
F26,200000,200000,8082,1,3,0.0404101697747527,0.04041,1.697747527007465e-07,6,12
F27,400000,400000,790,1,3,0.0019755533470953,0.001975,5.53347095315522e-07,2,6
F28,400000,400000,7169,1,3,0.0179225256522294,0.0179225,2.5652229403150265e-08,1,6
F29,800000,800000,6069,1,3,0.0075864136852609,0.00758625,1.6368526097303856e-07,4,3
F30,800000,800000,6735,1,3,0.008419351165585,0.00841875,6.011655850103603e-07,2,3
F31,400000,400000,6187,1,3,0.0154668528696406,0.0154675,6.47130359332157e-07,3,6
F32,800000,800000,1233,1,3,0.0015416891357842,0.00154125,4.391357842298618e-07,6,3
F33,200000,200000,1168,1,3,0.0058404042863138,0.00584,4.0428631388304825e-07,1,12
F34,800000,800000,8329,1,3,0.0104114901067744,0.01041125,2.401067744454977e-07,1,3
F35,400000,400000,11073,1,3,0.0276824621990676,0.0276825,3.780093238425764e-08,1,6
F36,200000,200000,11375,1,3,0.0568736373111569,0.056875,1.3626888430914863e-06,6,12
F37,100000,100000,5541,1,3,0.0554102129841874,0.05541,2.129841874115579e-07,2,24
F38,200000,200000,759,1,3,0.0037950151485582,0.003795,1.5148558233767793e-08,1,12
F39,800000,800000,8667,1,3,0.0108336371775723,0.01083375,1.1282242764684702e-07,6,3
F40,800000,800000,5113,1,3,0.0063906659022716,0.00639125,5.840977283918733e-07,7,3
F41,100000,100000,3272,1,3,0.0327190766835572,0.03272,9.233164428024132e-07,1,24
F42,200000,200000,1788,1,3,0.0089402385179812,0.00894,2.3851798121657386e-07,7,12
F43,800000,800000,1849,1,3,0.0023112825903802,0.00231125,3.2590380228715576e-08,5,3
F44,800000,800000,8105,1,3,0.0101312071102429,0.01013125,4.2889757070549435e-08,3,3
F45,800000,800000,5776,1,3,0.0072205252454913,0.00722,5.252454913133933e-07,2,3
F46,800000,800000,6675,1,3,0.0083439735076863,0.00834375,2.2350768639003987e-07,5,3
F47,800000,800000,9803,1,3,0.0122532951692992,0.01225375,4.5483070076207676e-07,3,3
F48,100000,100000,4396,1,3,0.0439618015667202,0.04396,1.801566720242842e-06,1,24
