Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,200000,200000,5043,1,3,0.025215304603064,0.025215,3.046030640913022e-07,2,12
F2,400000,400000,7523,1,3,0.018808236985261,0.0188075,7.369852610163152e-07,3,6
F3,200000,200000,2580,1,3,0.0129004334038116,0.0129,4.334038116397127e-07,3,12
F4,200000,200000,6514,1,3,0.0325698116387959,0.03257,1.8836120409260198e-07,2,12
F5,800000,800000,5457,1,3,0.0068209730202222,0.00682125,2.769797777793168e-07,3,3
F6,200000,200000,3238,1,3,0.0161892752292454,0.01619,7.247707545961213e-07,5,12
F7,800000,800000,4071,1,3,0.0050884020854996,0.00508875,3.4791450034561e-07,1,3
F8,400000,400000,11389,1,3,0.0284724259060578,0.0284725,7.409394219351495e-08,5,6
F9,400000,400000,5080,1,3,0.0126995536746606,0.0127,4.463253393087452e-07,2,6
F10,200000,200000,1920,1,3,0.0095999258413642,0.0096,7.415863573397019e-08,1,12
F11,800000,800000,10599,1,3,0.0132481899146096,0.01324875,5.60085390368531e-07,7,3
F12,200000,200000,1600,1,3,0.0080002885399793,0.008,2.8853997936090225e-07,7,12
F13,200000,200000,9307,1,3,0.0465374043498677,0.046535,2.404349867750344e-06,2,12
F14,200000,200000,10130,1,3,0.0506517136128553,0.05065,1.7136128553640884e-06,2,12
F15,800000,800000,848,1,3,0.0010599708733431,0.00106,2.9126656803232443e-08,2,3
F16,800000,800000,902,1,3,0.0011268810161427,0.0011275,6.189838572222273e-07,6,3
F17,200000,200000,784,1,3,0.003920050725407,0.00392,5.072540702061312e-08,7,12
F18,400000,400000,5606,1,3,0.0140153977749699,0.014015,3.977749699624056e-07,6,6
F19,800000,800000,11346,1,3,0.0141825489658758,0.0141825,4.896587589564572e-08,3,3
F20,400000,400000,6415,1,3,0.0160368299325259,0.0160375,6.700674740241219e-07,4,6
F21,100000,100000,3179,1,3,0.0317891409553967,0.03179,8.590446032435972e-07,3,24
F22,200000,200000,2350,1,3,0.0117499514527577,0.01175,4.854724229910735e-08,4,12
F23,800000,800000,1759,1,3,0.0021984582509956,0.00219875,2.917490043172558e-07,6,3
F24,800000,800000,865,1,3,0.0010807524508083,0.00108125,4.97549191646714e-07,4,3
F25,400000,400000,7385,1,3,0.0184623450539482,0.0184625,1.5494605171834097e-07,2,6
F26,800000,800000,4227,1,3,0.0052834888542835,0.00528375,2.611457164090891e-07,6,3
F27,800000,800000,1099,1,3,0.0013732579211692,0.00137375,4.920788307868906e-07,3,3
F28,800000,800000,4873,1,3,0.0060913263839652,0.00609125,7.638396520067564e-08,2,3
F29,200000,200000,10314,1,3,0.0515720726387268,0.05157,2.072638726875742e-06,5,12
F30,100000,100000,4991,1,3,0.0499094485710066,0.04991,5.514289933492011e-07,5,24
F31,800000,800000,10425,1,3,0.013031207492012,0.01303125,4.2507987912596135e-08,5,3
F32,100000,100000,6248,1,3,0.0624795433968625,0.06248,4.566031374872437e-07,5,24
F33,400000,400000,9979,1,3,0.0249467412863624,0.0249475,7.587136375726555e-07,3,6
F34,800000,800000,2337,1,3,0.0029212330747752,0.00292125,1.6925224735186293e-08,4,3
F35,800000,800000,1898,1,3,0.0023723612672778,0.0023725,1.3873272214403112e-07,2,3
F36,200000,200000,11399,1,3,0.0569966090304842,0.056995,1.609030484288343e-06,2,12
F37,800000,800000,1997,1,3,0.0024960985864772,0.00249625,1.5141352279791909e-07,3,3
F38,100000,100000,2307,1,3,0.0230698572810834,0.02307,1.4271891653899749e-07,2,24
F39,400000,400000,6266,1,3,0.0156654459599718,0.015665,4.459599718537044e-07,2,6
F40,400000,400000,3191,1,3,0.0079770205513378,0.0079775,4.794486621901434e-07,5,6
F41,400000,400000,9433,1,3,0.0235815028840519,0.0235825,9.971159480523515e-07,5,6
F42,200000,200000,8479,1,3,0.0423951690265158,0.042395,1.6902651585326558e-07,5,12
F43,200000,200000,3330,1,3,0.0166505820297395,0.01665,5.820297395535412e-07,6,12
F44,400000,400000,8285,1,3,0.0207122696259038,0.0207125,2.303740961710765e-07,5,6
F45,800000,800000,3015,1,3,0.0037685321467374,0.00376875,2.1785326255333373e-07,5,3
F46,200000,200000,1269,1,3,0.0063447951855434,0.006345,2.0481445659262246e-07,4,12
F47,400000,400000,4424,1,3,0.0110599503708455,0.01106,4.9629154452723874e-08,6,6
F48,400000,400000,8754,1,3,0.0218849528454795,0.021885,4.7154520441128334e-08,3,6
