Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,800000,800000,4613,1,3,0.0057666290238136,0.00576625,3.790238136411675e-07,1,3
F2,800000,800000,2108,1,3,0.0026351556024458,0.002635,1.5560244587091435e-07,5,3
F3,400000,400000,10857,1,3,0.0271423217059676,0.0271425,1.7829403235747335e-07,6,6
F4,400000,400000,11569,1,3,0.0289216677096134,0.0289225,8.322903865369546e-07,4,6
F5,800000,800000,11089,1,3,0.0138617853320677,0.01386125,5.353320677217027e-07,4,3
F6,800000,800000,600,1,3,0.0001411031335124,0.00075,0.0006088968664875,1,3
F7,800000,800000,8092,1,3,0.0101154471342678,0.010115,4.471342678179918e-07,6,3
F8,800000,800000,9879,1,3,0.0123492750173588,0.01234875,5.250173588291357e-07,4,3
F9,800000,800000,5127,1,3,0.0064092628345782,0.00640875,5.12834578210615e-07,6,3
F10,400000,400000,2130,1,3,0.0053244711846841,0.005325,5.288153158457265e-07,4,6
F11,400000,400000,1468,1,3,0.0036699618407645,0.00367,3.8159235487156974e-08,7,6
F12,100000,100000,1953,1,3,0.0195306479754906,0.01953,6.479754906460466e-07,5,24
F13,100000,100000,3324,1,3,0.0332409791025756,0.03324,9.791025756197835e-07,6,24
F14,400000,400000,6921,1,3,0.0173019395631622,0.0173025,5.604368377154501e-07,4,6
F15,200000,200000,8088,1,3,0.0404414836664043,0.04044,1.4836664043241243e-06,6,12
F16,200000,200000,3367,1,3,0.0168341708754019,0.016835,8.291245980444895e-07,2,12
F17,800000,800000,1498,1,3,0.0018731011329515,0.0018725,6.011329515822825e-07,2,3
F18,100000,100000,2901,1,3,0.02901004073064,0.02901,4.073064006210325e-08,6,24
F19,400000,400000,6426,1,3,0.0160654770618607,0.016065,4.770618607895238e-07,6,6
F20,200000,200000,7121,1,3,0.0356062336076465,0.035605,1.2336076465335744e-06,4,12
F21,100000,100000,1190,1,3,0.0119001533236664,0.0119,1.533236664505444e-07,1,24
F22,400000,400000,5048,1,3,0.0126204188771776,0.01262,4.188771776866829e-07,2,6
F23,400000,400000,1683,1,3,0.0042075092541118,0.0042075,9.254111840543975e-09,5,6
F24,400000,400000,2650,1,3,0.0066244977991041,0.006625,5.02200895876638e-07,2,6
F25,400000,400000,4970,1,3,0.0124252915384655,0.012425,2.915384655546166e-07,6,6
F26,200000,200000,9197,1,3,0.0459846420175545,0.045985,3.579824454646996e-07,6,12
F27,400000,400000,6114,1,3,0.0152845557154008,0.015285,4.4428459917283947e-07,1,6
F28,800000,800000,6797,1,3,0.0084967036326143,0.00849625,4.536326143438074e-07,5,3
F29,800000,800000,6452,1,3,0.0080645755705445,0.008065,4.244294554249517e-07,1,3
F30,800000,800000,931,1,3,0.0011641440517229,0.00116375,3.940517229372633e-07,7,3
F31,800000,800000,675,1,3,0.0008443415531521,0.00084375,5.915531521614266e-07,4,3
F32,400000,400000,8461,1,3,0.0211533887626961,0.0211525,8.887626961225081e-07,6,6
F33,800000,800000,1587,1,3,0.0019834612867866,0.00198375,2.887132133856836e-07,3,3
F34,200000,200000,4178,1,3,0.0208901920197395,0.02089,1.920197395741119e-07,1,12
F35,100000,100000,6960,1,3,0.0695954625852976,0.0696,4.537414702354692e-06,6,24
F36,800000,800000,9361,1,3,0.0117006672830819,0.01170125,5.827169180551428e-07,5,3
F37,800000,800000,2981,1,3,0.0037262115609556,0.00372625,3.8439044377624326e-08,2,3
F38,800000,800000,6000,1,3,0.0075003040285552,0.0075,3.040285552827205e-07,7,3
F39,800000,800000,6389,1,3,0.0079865876024764,0.00798625,3.376024764190078e-07,3,3
F40,400000,400000,8766,1,3,0.0219149776204412,0.021915,2.2379558716617565e-08,4,6
F41,100000,100000,2908,1,3,0.0290806933174974,0.02908,6.933174974618761e-07,4,24
F42,100000,100000,4968,1,3,0.0496798492557044,0.04968,1.5074429553230129e-07,6,24
F43,400000,400000,3527,1,3,0.0088173180538987,0.0088175,1.819461012495666e-07,4,6
F44,800000,800000,8721,1,3,0.0109016707390424,0.01090125,4.20739042496579e-07,2,3
F45,800000,800000,2293,1,3,0.0028664398553818,0.00286625,1.8985538186109402e-07,3,3
F46,400000,400000,6319,1,3,0.015797087816289,0.0157975,4.121837109613558e-07,5,6
F47,800000,800000,600,1,3,0.0002986993992422,0.00075,0.0004513006007577,6,3
F48,100000,100000,6553,1,3,0.065530303319125,0.06553,3.0331912506675884e-07,6,24
