Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,7071,1,3,0.0176769864952155,0.0176775,,5
F2,400000,400000,3537,1,3,0.0088436165678138,0.0088425,,1
F3,200000,200000,9127,1,3,0.0456344766650922,0.045635,,4
F4,400000,400000,3111,1,3,0.0077785634822871,0.0077775,,5
F5,200000,200000,7107,1,3,0.0355359988559618,0.035535,,4
F6,400000,400000,1277,1,3,0.0031920843785995,0.0031925,,2
F7,400000,400000,6185,1,3,0.0154621176065491,0.0154625,,6
F8,200000,200000,1052,1,3,0.0052600038431409,0.00526,,4
F9,400000,400000,9710,1,3,0.0242738549364015,0.024275,,1
F10,400000,400000,947,1,3,0.0023677981570919,0.0023675,,6
F11,400000,400000,1182,1,3,0.0029537659151032,0.002955,,1
F12,100000,100000,6169,1,3,0.0616880435264405,0.06169,,2
F13,200000,200000,2987,1,3,0.0149361350935123,0.014935,,3
F14,200000,200000,1730,1,3,0.0086503078907367,0.00865,,6
F15,200000,200000,1297,1,3,0.0064843313063402,0.006485,,6
F16,100000,100000,745,1,3,0.0074508712647696,0.00745,,2
F17,400000,400000,600,1,3,0.0002000708261765,0.0015,,7
F18,400000,400000,4003,1,3,0.0100071164138985,0.0100075,,7
F19,400000,400000,10815,1,3,0.0270378237495915,0.0270375,,2
F20,200000,200000,6572,1,3,0.0328616218793218,0.03286,,1
F21,50000,50000,736,1,3,0.0147199123658714,0.01472,,2
F22,100000,100000,1745,1,3,0.0174509632499554,0.01745,,7
F23,50000,50000,2179,1,3,0.0435796507742394,0.04358,,2
F24,400000,400000,3366,1,3,0.0084153947651446,0.008415,,4
F25,400000,400000,2954,1,2,0.0073846375024184,0.007385,,1
F26,200000,200000,652,1,2,0.003259224405666,0.00326,,7
F27,200000,200000,3622,1,2,0.018109636955074,0.01811,,2
F28,200000,200000,7060,1,2,0.0353018902595897,0.0353,,2
F29,50000,50000,5090,1,2,0.1017997463648178,0.1018,,2
F30,50000,50000,6997,1,2,0.1399451251030345,0.13994,,2
F31,200000,200000,8427,1,2,0.042135692131259,0.042135,,1
F32,200000,200000,4565,1,2,0.0228253243178351,0.022825,,4
F33,100000,100000,2010,1,2,0.0201008048864823,0.0201,,4
F34,400000,400000,8469,1,2,0.0211722530510104,0.0211725,,5
F35,400000,400000,2431,1,2,0.00607659878156,0.0060775,,5
F36,400000,400000,600,1,2,0.0011515329468201,0.0015,,5
F37,400000,400000,10869,1,2,0.0271729205936932,0.0271725,,4
F38,100000,100000,6321,1,2,0.0632101955269806,0.06321,,4
F39,400000,400000,6195,1,2,0.0154884156344294,0.0154875,,1
F40,400000,400000,4363,1,2,0.0109063142547645,0.0109075,,4
F41,400000,400000,8892,1,2,0.0222307468778716,0.02223,,2
F42,400000,400000,831,1,2,0.0020773147048807,0.0020775,,3
F43,400000,400000,1530,1,2,0.0038257967707528,0.003825,,3
F44,200000,200000,2025,1,2,0.0101243358411578,0.010125,,5
F45,400000,400000,617,1,2,0.0015429467949158,0.0015425,,4
F46,400000,400000,2601,1,2,0.0065014213447693,0.0065025,,7
F47,400000,400000,3090,1,2,0.0077257138569683,0.007725,,3
F48,400000,400000,8307,1,2,0.0207674177464124,0.0207675,,1
