Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,6937,1,3,0.0173419393277481,0.0173425,,4
F2,100000,100000,5394,1,3,0.053941724288737,0.05394,,3
F3,200000,200000,794,1,3,0.0039697496969788,0.00397,,6
F4,400000,400000,10618,1,3,0.0265439837591692,0.026545,,3
F5,400000,400000,1725,1,3,0.0043126954580919,0.0043125,,7
F6,200000,200000,842,1,3,0.0042094317032193,0.00421,,3
F7,200000,200000,8953,1,3,0.0447635059181433,0.044765,,3
F8,100000,100000,3827,1,3,0.03826888043835,0.03827,,4
F9,100000,100000,789,1,3,0.0078892364591059,0.00789,,5
F10,400000,400000,6845,1,3,0.0171132539200657,0.0171125,,7
F11,100000,100000,1255,1,3,0.0125506479638676,0.01255,,5
F12,200000,200000,6709,1,3,0.0335459888981286,0.033545,,6
F13,200000,200000,9105,1,3,0.0455263888054918,0.045525,,3
F14,400000,400000,3147,1,3,0.0078683081818189,0.0078675,,2
F15,400000,400000,1607,1,3,0.0040165927327963,0.0040175,,5
F16,400000,400000,2463,1,3,0.0061565950376208,0.0061575,,3
F17,400000,400000,10006,1,3,0.0250141801867741,0.025015,,6
F18,400000,400000,808,1,3,0.0020201079676006,0.00202,,4
F19,50000,50000,753,1,3,0.0150600226306747,0.01506,,3
F20,400000,400000,3274,1,3,0.0081847199360383,0.008185,,4
F21,200000,200000,1723,1,3,0.0086161605313184,0.008615,,1
F22,400000,400000,3164,1,3,0.0079111339228665,0.00791,,7
F23,400000,400000,4049,1,3,0.0101232172970157,0.0101225,,3
F24,200000,200000,6700,1,3,0.0335016243243622,0.0335,,3
F25,200000,200000,2469,1,2,0.012344892519897,0.012345,,2
F26,100000,100000,6559,1,2,0.0655923498323211,0.06559,,3
F27,100000,100000,760,1,2,0.007599485560736,0.0076,,6
F28,400000,400000,1928,1,2,0.0048205317482614,0.00482,,4
F29,200000,200000,8758,1,2,0.0437908046099401,0.04379,,3
F30,400000,400000,984,1,2,0.0024589289177697,0.00246,,2
F31,200000,200000,6051,1,2,0.0302557506870304,0.030255,,6
F32,200000,200000,5729,1,2,0.0286461380673116,0.028645,,4
F33,100000,100000,6739,1,2,0.0673882659224967,0.06739,,3
F34,200000,200000,8055,1,2,0.0402747142294818,0.040275,,6
F35,400000,400000,1793,1,2,0.0044824692636178,0.0044825,,1
F36,100000,100000,3167,1,2,0.0316702530072317,0.03167,,5
F37,400000,400000,5955,1,2,0.0148885593913244,0.0148875,,7
F38,100000,100000,7345,1,2,0.0734516411730282,0.07345,,3
F39,400000,400000,4539,1,2,0.011346984733659,0.0113475,,6
F40,200000,200000,1037,1,2,0.0051859082790754,0.005185,,1
F41,200000,200000,2980,1,2,0.0148994365509527,0.0149,,4
F42,400000,400000,11008,1,2,0.0275197128195321,0.02752,,2
F43,400000,400000,600,1,2,8.848104338557428e-05,0.0015,,1
F44,400000,400000,10391,1,2,0.0259782059321863,0.0259775,,5
F45,400000,400000,661,1,2,0.0016532428444312,0.0016525,,2
F46,400000,400000,6746,1,2,0.0168649993165928,0.016865,,2
F47,200000,200000,7727,1,2,0.0386335062019949,0.038635,,3
F48,400000,400000,600,1,2,0.0008916952498383,0.0015,,4
