Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,4997,1,3,0.012493338131955856,0.0124925,,2
F2,50000,50000,3410,1,3,0.06819845283637149,0.0682,,1
F3,50000,50000,10531,1,3,0.2106279352089181,0.21062,,6
F4,400000,400000,5515,1,3,0.01378785990949516,0.0137875,,4
F5,200000,200000,3761,1,3,0.01880474459895387,0.018805,,4
F6,100000,100000,8557,1,3,0.08556784590625122,0.08557,,5
F7,400000,400000,6693,1,3,0.01673324208624294,0.0167325,,3
F8,100000,100000,2360,1,3,0.0236011097698986,0.0236,,6
F9,100000,100000,10899,1,3,0.10898563356664148,0.10899,,3
F10,50000,50000,10893,1,3,0.21785415856796453,0.21786,,3
F11,200000,200000,2857,1,3,0.014284033922207562,0.014285,,6
F12,50000,50000,9839,1,3,0.19678388292677237,0.19678,,4
F13,400000,400000,3009,1,3,0.007522916648357053,0.0075225,,3
F14,200000,200000,3739,1,3,0.01869427177066116,0.018695,,2
F15,100000,100000,10989,1,3,0.1098934594264002,0.10989,,1
F16,100000,100000,7617,1,3,0.07616711472290837,0.07617,,7
