Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,100000,100000,8381,1,3,0.08381281939168417,0.08381,,2
F2,50000,50000,2843,1,3,0.05685901733857923,0.05686,,2
F3,50000,50000,973,1,3,0.019461142853335334,0.01946,,4
F4,200000,200000,2963,1,3,0.014814587983538963,0.014815,,3
F5,400000,400000,3904,1,3,0.00976046055670865,0.00976,,4
F6,400000,400000,7688,1,3,0.019219081730219245,0.01922,,5
F7,200000,200000,799,1,3,0.00399424342558341,0.003995,,4
F8,100000,100000,3731,1,3,0.03730865591758603,0.03731,,2
F9,400000,400000,7515,1,3,0.01878848840244951,0.0187875,,6
F10,400000,400000,3957,1,3,0.009891268138275344,0.0098925,,2
F11,200000,200000,4966,1,3,0.024829032267980722,0.02483,,1
F12,200000,200000,9150,1,3,0.04574936685776354,0.04575,,5
F13,200000,200000,1694,1,3,0.00846997822181006,0.00847,,5
F14,200000,200000,1001,1,3,0.005004492715702802,0.005005,,2
F15,100000,100000,6838,1,3,0.06837622460588977,0.06838,,7
F16,400000,400000,10265,1,3,0.02566220728405355,0.0256625,,5
F17,400000,400000,2045,1,3,0.0051126583547354,0.0051125,,1
F18,400000,400000,8595,1,3,0.02148764165440986,0.0214875,,7
F19,200000,200000,1367,1,3,0.006833818776111333,0.006835,,7
F20,200000,200000,7508,1,3,0.0375411277610892,0.03754,,3
F21,200000,200000,4014,1,3,0.02007059236409342,0.02007,,3
F22,100000,100000,9273,1,3,0.09272562739542944,0.09273,,2
F23,100000,100000,8560,1,3,0.08560450771336664,0.0856,,7
F24,400000,400000,1731,1,3,0.004328136563738039,0.0043275,,3
F25,200000,200000,7937,1,3,0.03968305079754242,0.039685,,6
F26,100000,100000,7185,1,3,0.07185318029867835,0.07185,,5
F27,400000,400000,8173,1,3,0.020432504134250656,0.0204325,,6
F28,400000,400000,1383,1,3,0.003457068896956378,0.0034575,,6
F29,200000,200000,7741,1,3,0.03870445729038843,0.038705,,7
F30,400000,400000,6099,1,3,0.01524816515716454,0.0152475,,7
F31,100000,100000,6933,1,3,0.06933324575986682,0.06933,,6
F32,400000,400000,6233,1,3,0.015583149391018734,0.0155825,,1
