Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,50000,50000,887,1,3,0.017740420320267347,0.01774,,5
F2,200000,200000,9249,1,3,0.04624447823304689,0.046245,,5
F3,50000,50000,4374,1,3,0.0874762108310605,0.08748,,2
F4,400000,400000,10258,1,3,0.025644937393999645,0.025645,,1
F5,400000,400000,648,1,3,0.0016192911545584998,0.00162,,5
F6,400000,400000,714,1,3,0.0017842192823583902,0.001785,,1
F7,200000,200000,10565,1,3,0.05282634120041407,0.052825,,2
F8,50000,50000,4291,1,3,0.08582184293975692,0.08582,,2
F9,400000,400000,9898,1,3,0.024746011624395714,0.024745,,3
F10,400000,400000,2025,1,3,0.005062542721098073,0.0050625,,2
F11,400000,400000,1985,1,3,0.0049637306429792805,0.0049625,,4
F12,400000,400000,8072,1,3,0.02018001510566636,0.02018,,7
F13,200000,200000,8080,1,3,0.04040072159006303,0.0404,,2
F14,200000,200000,11831,1,3,0.05915252337544563,0.059155,,5
F15,200000,200000,6563,1,3,0.0328132776398935,0.032815,,3
F16,100000,100000,8365,1,3,0.08365444574916792,0.08365,,2
F17,400000,400000,774,1,3,0.0019346702332173615,0.001935,,5
F18,400000,400000,2491,1,3,0.006227069943915864,0.0062275,,7
F19,400000,400000,3703,1,3,0.009256813773668271,0.0092575,,6
F20,400000,400000,7957,1,3,0.019891716253325642,0.0198925,,1
F21,100000,100000,1919,1,3,0.019189592348965445,0.01919,,6
F22,100000,100000,4449,1,3,0.044488671385455425,0.04449,,5
F23,400000,400000,884,1,3,0.0022090551403482483,0.00221,,3
F24,400000,400000,4555,1,3,0.011387365031624297,0.0113875,,3
F25,200000,200000,6599,1,3,0.0329930913973982,0.032995,,1
F26,200000,200000,11331,1,3,0.056657214701176795,0.056655,,2
F27,400000,400000,2005,1,3,0.005011799710648468,0.0050125,,3
F28,400000,400000,10793,1,3,0.026983171777458126,0.0269825,,5
F29,200000,200000,5199,1,3,0.02599561185324145,0.025995,,4
F30,400000,400000,600,1,3,0.0006407353273620853,0.0015,,2
F31,400000,400000,2183,1,3,0.005457294586547645,0.0054575,,5
F32,400000,400000,5555,1,3,0.013888666941334449,0.0138875,,7
F33,400000,400000,841,1,3,0.0021020155234574567,0.0021025,,2
F34,400000,400000,5341,1,3,0.013351916437657513,0.0133525,,1
F35,400000,400000,6951,1,3,0.01737846423388195,0.0173775,,2
F36,400000,400000,11525,1,3,0.02881240100400642,0.0288125,,2
F37,400000,400000,1060,1,3,0.0026491543630975944,0.00265,,1
F38,200000,200000,4657,1,3,0.023285811382613625,0.023285,,5
F39,400000,400000,8015,1,3,0.02003670320214207,0.0200375,,4
F40,200000,200000,7409,1,3,0.037044875841297675,0.037045,,2
F41,400000,400000,7697,1,3,0.01924253893827553,0.0192425,,3
F42,200000,200000,1170,1,3,0.005851166613239159,0.00585,,4
F43,400000,400000,1755,1,3,0.004387702583988559,0.0043875,,6
F44,400000,400000,9678,1,3,0.024194015226570165,0.024195,,2
F45,200000,200000,915,1,3,0.004574677727677202,0.004575,,7
F46,100000,100000,3968,1,3,0.039680513665946035,0.03968,,5
F47,200000,200000,2819,1,3,0.014095700321324588,0.014095,,4
F48,400000,400000,3006,1,3,0.007516115732397018,0.007515,,1
