Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,200000,200000,10949,1,3,0.0547459385462958,0.054745,9.385462958338976e-07,6,12
F2,400000,400000,6695,1,3,0.0167374277105292,0.0167375,7.228947078094516e-08,6,6
F3,200000,200000,7327,1,3,0.0366339565918433,0.036635,1.043408156681247e-06,6,12
F4,800000,800000,3531,1,3,0.0044134453705235,0.00441375,3.046294764280297e-07,1,3
F5,400000,400000,10399,1,3,0.0259985845661128,0.0259975,1.0845661128147666e-06,4,6
F6,800000,800000,8087,1,3,0.0101092012499345,0.01010875,4.5124993452994033e-07,2,3
F7,800000,800000,600,1,3,0.0003350460351769,0.00075,0.000414953964823,5,3
F8,200000,200000,6813,1,3,0.0340635011043178,0.034065,1.498895682114365e-06,7,12
F9,800000,800000,600,1,3,0.0006268358553944,0.00075,0.0001231641446055,4,3
F10,800000,800000,664,1,3,0.0008294190220528,0.00083,5.809779471980733e-07,2,3
F11,400000,400000,6409,1,3,0.0160231514787266,0.0160225,6.514787266841127e-07,2,6
F12,800000,800000,10137,1,3,0.0126714990532833,0.01267125,2.490532833524656e-07,5,3
F13,800000,800000,7983,1,3,0.0099793158961202,0.00997875,5.658961202224116e-07,4,3
F14,200000,200000,6883,1,3,0.0344136824095546,0.034415,1.3175904453321952e-06,2,12
F15,800000,800000,6067,1,3,0.0075835329807159,0.00758375,2.1701928409889606e-07,6,3
F16,800000,800000,1829,1,3,0.0022865103076336,0.00228625,2.603076336045451e-07,7,3
F17,200000,200000,9423,1,3,0.0471136034962117,0.047115,1.3965037882548992e-06,2,12
F18,200000,200000,1277,1,3,0.0063843960907585,0.006385,6.039092414183295e-07,5,12
F19,800000,800000,5783,1,3,0.0072289429863087,0.00722875,1.929863087174119e-07,6,3
F20,800000,800000,9125,1,3,0.0114064037039358,0.01140625,1.5370393580821373e-07,3,3
F21,200000,200000,8047,1,3,0.040237055088473,0.040235,2.055088473028321e-06,5,12
F22,800000,800000,2322,1,3,0.002903000452903,0.0029025,5.004529030371886e-07,4,3
F23,400000,400000,7069,1,3,0.0176735811667554,0.0176725,1.0811667554358473e-06,7,6
F24,800000,800000,5956,1,3,0.007444929638815,0.007445,7.03611849547925e-08,3,3
F25,200000,200000,8359,1,3,0.0417964838909522,0.041795,1.4838909522529864e-06,6,12
F26,800000,800000,1127,1,3,0.0014082822360228,0.00140875,4.6776397714921e-07,6,3
F27,400000,400000,1285,1,3,0.0032123784962474,0.0032125,1.2150375255232104e-07,2,6
F28,400000,400000,7837,1,3,0.0195929740677042,0.0195925,4.740677042175401e-07,6,6
F29,800000,800000,5273,1,3,0.0065906900135899,0.00659125,5.599864100827578e-07,3,3
F30,800000,800000,2073,1,3,0.0025914141088282,0.00259125,1.6410882829401285e-07,2,3
F31,800000,800000,1853,1,3,0.0023164992799764,0.00231625,2.492799764026478e-07,1,3
F32,800000,800000,8791,1,3,0.0109888197132023,0.01098875,6.971320231329016e-08,1,3
F33,400000,400000,11634,1,3,0.0290838593028592,0.029085,1.140697140716851e-06,5,6
F34,100000,100000,3694,1,3,0.0369389593652038,0.03694,1.0406347961400275e-06,4,24
F35,800000,800000,1345,1,3,0.0016816852072633,0.00168125,4.352072633059291e-07,3,3
F36,800000,800000,8871,1,3,0.0110888552651884,0.01108875,1.052651884079353e-07,7,3
F37,400000,400000,7609,1,3,0.0190227790095911,0.0190225,2.790095911774093e-07,2,6
F38,400000,400000,8523,1,3,0.0213083553828022,0.0213075,8.553828022075938e-07,4,6
F39,400000,400000,6214,1,3,0.0155337885268078,0.015535,1.2114731921877842e-06,4,6
F40,800000,800000,11087,1,3,0.0138585443148674,0.01385875,2.056851325059339e-07,1,3
F41,800000,800000,8559,1,3,0.0106985017101109,0.01069875,2.482898890862617e-07,5,3
F42,100000,100000,6568,1,3,0.0656790560036912,0.06568,9.439963087887192e-07,7,24
F43,200000,200000,7796,1,3,0.038981449242234,0.03898,1.4492422340875444e-06,7,12
F44,400000,400000,9255,1,3,0.0231365830020947,0.0231375,9.169979052342514e-07,5,6
F45,800000,800000,600,1,3,0.0005813242413316,0.00075,0.0001686757586683,1,3
F46,400000,400000,1174,1,3,0.0029349396565933,0.002935,6.034340666385973e-08,4,6
F47,800000,800000,4153,1,3,0.0051912409910432,0.00519125,9.0089567889029e-09,7,3
F48,400000,400000,5278,1,3,0.013194388109662,0.013195,6.118903379467855e-07,7,6
