Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,100000,100000,3480,1,3,0.034799713766522355,0.0348,,3
F2,400000,400000,10998,1,3,0.02749420296771088,0.027495,,4
F3,200000,200000,7559,1,3,0.0377938605221253,0.037795,,3
F4,400000,400000,752,1,3,0.001880461887874385,0.00188,,6
F5,400000,400000,3619,1,3,0.009046327546944344,0.0090475,,6
F6,100000,100000,5444,1,3,0.054437594785930354,0.05444,,2
F7,400000,400000,1434,1,3,0.0035850493976344877,0.003585,,1
F8,200000,200000,10186,1,3,0.05093119723021855,0.05093,,2
F9,400000,400000,1076,1,3,0.0026902540194069235,0.00269,,4
F10,200000,200000,7341,1,3,0.03670586121005981,0.036705,,6
F11,400000,400000,1941,1,3,0.004852007559965565,0.0048525,,5
F12,400000,400000,7033,1,3,0.01758367277769257,0.0175825,,3
F13,200000,200000,867,1,3,0.004336164406289866,0.004335,,7
F14,400000,400000,600,1,3,0.0012802942661769845,0.0015,,7
F15,200000,200000,9449,1,3,0.04724391518276255,0.047245,,5
F16,400000,400000,2506,1,3,0.006264398254683168,0.006265,,1
F17,200000,200000,7252,1,3,0.03625913904073991,0.03626,,2
F18,400000,400000,600,1,3,0.0008975536988796717,0.0015,,5
F19,400000,400000,995,1,3,0.002487409322662393,0.0024875,,3
F20,200000,200000,3241,1,3,0.016204568159620902,0.016205,,6
F21,200000,200000,11779,1,3,0.05889433098929042,0.058895,,5
F22,400000,400000,600,1,3,0.001096263173607781,0.0015,,3
F23,200000,200000,6179,1,3,0.030893152760369358,0.030895,,2
F24,400000,400000,600,1,3,0.0014688027772724044,0.0015,,4
F25,200000,200000,10553,1,3,0.05276456728430584,0.052765,,5
F26,200000,200000,11828,1,3,0.05914190161946001,0.05914,,5
F27,200000,200000,7246,1,3,0.03623175434534083,0.03623,,6
F28,200000,200000,6672,1,3,0.03336141134446513,0.03336,,1
F29,400000,400000,3681,1,3,0.009202163210952838,0.0092025,,1
F30,200000,200000,1440,1,3,0.007199814724071593,0.0072,,3
F31,200000,200000,2759,1,3,0.013794834596357636,0.013795,,5
F32,200000,200000,6675,1,3,0.033376166023489875,0.033375,,5
