Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,50000,50000,3178,1,3,0.06355780957087254,0.06356,,7
F2,200000,200000,2650,1,3,0.013250802609439227,0.01325,,3
F3,200000,200000,9990,1,3,0.04994937696595225,0.04995,,4
F4,200000,200000,1254,1,3,0.006269499995773087,0.00627,,1
F5,200000,200000,3637,1,3,0.01818614718716638,0.018185,,7
F6,400000,400000,2748,1,3,0.006870140940794189,0.00687,,2
F7,400000,400000,8586,1,3,0.02146592158338856,0.021465,,6
F8,400000,400000,4879,1,3,0.012196393481263113,0.0121975,,6
F9,400000,400000,4529,1,3,0.011323216339046094,0.0113225,,5
F10,400000,400000,1893,1,3,0.004732819354604179,0.0047325,,2
F11,400000,400000,837,1,3,0.0020916463185010614,0.0020925,,1
F12,100000,100000,1975,1,3,0.01974878356029386,0.01975,,5
F13,400000,400000,2033,1,3,0.005082438699765324,0.0050825,,3
F14,200000,200000,8597,1,3,0.042984895824608405,0.042985,,2
F15,100000,100000,6695,1,3,0.06694551179408992,0.06695,,6
F16,100000,100000,7402,1,3,0.07402248678749379,0.07402,,2
F17,200000,200000,729,1,3,0.003645018567129621,0.003645,,4
F18,400000,400000,1056,1,3,0.002640815245757988,0.00264,,1
F19,400000,400000,8329,1,3,0.02082204992837705,0.0208225,,4
F20,400000,400000,2139,1,3,0.005348466510629313,0.0053475,,6
F21,200000,200000,3525,1,3,0.017625467453662697,0.017625,,2
F22,50000,50000,764,1,3,0.015280869769278255,0.01528,,1
F23,200000,200000,7342,1,3,0.03671053504492361,0.03671,,2
F24,400000,400000,989,1,3,0.0024728862891572334,0.0024725,,7
F25,400000,400000,859,1,3,0.0021473130185403477,0.0021475,,6
F26,400000,400000,8909,1,3,0.022272025191763217,0.0222725,,1
F27,100000,100000,2368,1,3,0.0236791487643834,0.02368,,5
F28,200000,200000,8523,1,3,0.04261647001485892,0.042615,,6
F29,200000,200000,8143,1,3,0.04071595667689735,0.040715,,7
F30,400000,400000,9792,1,3,0.024481246117131893,0.02448,,4
F31,400000,400000,4585,1,3,0.011461914242809255,0.0114625,,4
F32,400000,400000,3761,1,3,0.009401926151647831,0.0094025,,7
