Queue,Flow,Packet_ID,Type,Arrival,Deadline,Exec,Start,Finish,Slack
1,F1,P1_1,M,0,400000,600,15944.0,16544.0,383456.0
1,F1,P1_2,O,400000,800000,600,,,
1,F1,P1_3,M,800000,1200000,600,819262.0,819862.0,380138.0
1,F19,P19_1,M,0,400000,6234,0.0,6234.0,393766.0
1,F19,P19_2,M,400000,800000,6234,415600.0,421834.0,378166.0
1,F19,P19_3,O,800000,1200000,6234,,,
1,F20,P20_1,M,0,400000,1314,14630.0,15944.0,384056.0
1,F20,P20_2,O,400000,800000,1314,,,
1,F20,P20_3,M,800000,1200000,1314,817948.0,819262.0,380738.0
1,F39,P39_1,M,0,400000,2348,12282.0,14630.0,385370.0
1,F39,P39_2,O,400000,800000,2348,,,
1,F39,P39_3,M,800000,1200000,2348,815600.0,817948.0,382052.0
1,F40,P40_1,O,0,400000,8998,,,
1,F40,P40_2,M,400000,800000,8998,406602.0,415600.0,384400.0
1,F40,P40_3,M,800000,1200000,8998,806602.0,815600.0,384400.0
1,F42,P42_1,M,0,400000,6048,6234.0,12282.0,387718.0
1,F42,P42_2,M,400000,800000,6048,421834.0,427882.0,372118.0
1,F42,P42_3,O,800000,1200000,6048,,,
1,F44,P44_1,O,0,200000,6602,,,
1,F44,P44_2,M,200000,400000,6602,200000.0,206602.0,193398.0
1,F44,P44_3,M,400000,600000,6602,400000.0,406602.0,193398.0
1,F44,P44_4,O,600000,800000,6602,,,
1,F44,P44_5,M,800000,1000000,6602,800000.0,806602.0,193398.0
1,F44,P44_6,M,1000000,1200000,6602,1000000.0,1006602.0,193398.0
2,F10,P10_1,M,0,200000,2918,4538.0,7456.0,192544.0
2,F10,P10_2,O,200000,400000,2918,,,
2,F10,P10_3,M,400000,600000,2918,405575.0,408493.0,191507.0
2,F10,P10_4,M,600000,800000,2918,604538.0,607456.0,192544.0
2,F10,P10_5,O,800000,1000000,2918,,,
2,F10,P10_6,M,1000000,1200000,2918,1005575.0,1008493.0,191507.0
2,F25,P25_1,M,0,400000,3603,7456.0,11059.0,388941.0
2,F25,P25_2,O,400000,800000,3603,,,
2,F25,P25_3,M,800000,1200000,3603,816612.0,820215.0,379785.0
2,F31,P31_1,O,0,200000,5575,,,
2,F31,P31_2,M,200000,400000,5575,200000.0,205575.0,194425.0
2,F31,P31_3,M,400000,600000,5575,400000.0,405575.0,194425.0
