Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,800000,800000,926,1,3,0.0011573522955361,0.0011575,1.4770446384840437e-07,2,3
F2,400000,400000,3091,1,3,0.0077272396181008,0.0077275,2.6038189915485177e-07,3,6
F3,400000,400000,10134,1,3,0.0253342070520361,0.025335,7.929479638492387e-07,4,6
F4,800000,800000,2397,1,3,0.0029967889610594,0.00299625,5.389610594820106e-07,7,3
F5,800000,800000,2323,1,3,0.0029041574787469,0.00290375,4.074787469492136e-07,2,3
F6,200000,200000,7651,1,3,0.0382556001514152,0.038255,6.001514152725873e-07,2,12
F7,800000,800000,600,1,3,0.0007276627536567,0.00075,2.23372463432341e-05,3,3
F8,800000,800000,10727,1,3,0.013408736519556,0.01340875,1.3480443903507444e-08,1,3
F9,400000,400000,702,1,3,0.0017551364147171,0.001755,1.3641471713994257e-07,4,6
F10,400000,400000,7424,1,3,0.0185603324269788,0.01856,3.324269788537726e-07,1,6
F11,200000,200000,8127,1,3,0.0406371541792518,0.040635,2.154179251846744e-06,3,12
F12,800000,800000,1448,1,3,0.0018100302311082,0.00181,3.02311082616899e-08,3,3
F13,400000,400000,11925,1,3,0.029811650741971,0.0298125,8.492580289912177e-07,1,6
F14,50000,50000,1598,1,3,0.0319620651817128,0.03196,2.0651817128486405e-06,3,48
F15,800000,800000,600,1,3,0.0003457229870139,0.00075,0.000404277012986,1,3
F16,400000,400000,4945,1,3,0.012362023080789,0.0123625,4.769192109583403e-07,4,6
F17,800000,800000,3854,1,3,0.0048174951904215,0.0048175,4.809578482874166e-09,6,3
F18,400000,400000,11237,1,3,0.0280929167152728,0.0280925,4.167152728093426e-07,2,6
F19,200000,200000,11002,1,3,0.0550095482862628,0.05501,4.517137371928826e-07,7,12
F20,200000,200000,5995,1,3,0.0299757283134232,0.029975,7.283134232649591e-07,6,12
F21,800000,800000,5111,1,3,0.0063884169317247,0.00638875,3.330682752395592e-07,4,3
F22,400000,400000,6079,1,3,0.0151984303738665,0.0151975,9.303738665901452e-07,2,6
F23,400000,400000,7994,1,3,0.019984829959003,0.019985,1.7004099691839136e-07,6,6
F24,400000,400000,671,1,3,0.0016780441497081,0.0016775,5.441497081244782e-07,5,6
F25,800000,800000,5857,1,3,0.0073214564122477,0.00732125,2.0641224774027578e-07,5,3
F26,800000,800000,2123,1,3,0.0026542556548938,0.00265375,5.056548938002503e-07,1,3
F27,50000,50000,2039,1,3,0.0407777598711319,0.04078,2.240128868027935e-06,3,48
F28,400000,400000,1265,1,3,0.0031628459637733,0.0031625,3.459637733641864e-07,1,6
F29,800000,800000,912,1,3,0.0011395790332834,0.00114,4.209667165112029e-07,7,3
F30,800000,800000,10490,1,3,0.0131122749055563,0.0131125,2.2509444361218378e-07,2,3
F31,800000,800000,11634,1,3,0.0145418849730482,0.0145425,6.150269517973816e-07,4,3
F32,50000,50000,1944,1,3,0.0388777329902418,0.03888,2.267009758111227e-06,7,48
F33,100000,100000,3074,1,3,0.0307383190355973,0.03074,1.680964402627633e-06,7,24
F34,800000,800000,3285,1,3,0.0041059424144056,0.00410625,3.075855943496589e-07,2,3
F35,800000,800000,10513,1,3,0.0131412142986475,0.01314125,3.570135243685657e-08,5,3
F36,100000,100000,1343,1,3,0.0134304651152588,0.01343,4.651152588058122e-07,3,24
F37,800000,800000,1744,1,3,0.0021806061199166,0.00218,6.061199166614538e-07,6,3
F38,800000,800000,9557,1,3,0.0119462113109885,0.01194625,3.86890114199151e-08,6,3
F39,800000,800000,11527,1,3,0.0144086985214799,0.01440875,5.147852005955855e-08,6,3
F40,50000,50000,6546,1,3,0.130920406693765,0.13092,4.066937650537561e-07,4,48
F41,800000,800000,7231,1,3,0.0090384106317235,0.00903875,3.393682764685907e-07,3,3
F42,50000,50000,1088,1,3,0.021759041265269,0.02176,9.587347309103489e-07,7,48
F43,100000,100000,2506,1,3,0.0250591245983758,0.02506,8.754016241202534e-07,3,24
F44,800000,800000,2862,1,3,0.003576876886056,0.0035775,6.231139439176123e-07,7,3
F45,800000,800000,11581,1,3,0.0144758744867,0.01447625,3.755132999619382e-07,7,3
F46,800000,800000,1079,1,3,0.0013492106297565,0.00134875,4.606297565039764e-07,6,3
F47,800000,800000,10392,1,3,0.0129896681893882,0.01299,3.31810611792216e-07,7,3
F48,800000,800000,6614,1,3,0.0082677787496509,0.0082675,2.787496509431414e-07,1,3
