Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,100000,100000,2121,1,3,0.0212108932027859,0.02121,8.932027859079317e-07,4,24
F2,800000,800000,7141,1,3,0.0089268587935055,0.00892625,6.087935055208715e-07,6,3
F3,50000,50000,3277,1,3,0.0655385489427013,0.06554,1.451057298609837e-06,4,48
F4,200000,200000,8243,1,3,0.0412159518441448,0.041215,9.518441448364e-07,5,12
F5,800000,800000,6174,1,3,0.007717004100863,0.0077175,4.958991369329729e-07,7,3
F6,800000,800000,3787,1,3,0.0047342561664147,0.00473375,5.061664147629902e-07,1,3
F7,400000,400000,7835,1,3,0.0195866076109471,0.0195875,8.923890528964029e-07,2,6
F8,200000,200000,6507,1,3,0.0325326406866319,0.032535,2.359313368026361e-06,6,12
F9,200000,200000,7465,1,3,0.0373262752153633,0.037325,1.2752153633610597e-06,4,12
F10,400000,400000,1888,1,3,0.0047199172640537,0.00472,8.273594625900217e-08,4,6
F11,800000,800000,4867,1,3,0.0060836650446297,0.00608375,8.49553702395381e-08,2,3
F12,200000,200000,4247,1,3,0.0212344561889293,0.021235,5.438110706156019e-07,3,12
F13,800000,800000,9356,1,3,0.011694393752859,0.011695,6.062471409225278e-07,4,3
F14,200000,200000,4453,1,3,0.022264260870348,0.022265,7.391296519485002e-07,6,12
F15,200000,200000,5503,1,3,0.0275160113714177,0.027515,1.011371417791035e-06,3,12
F16,200000,200000,3329,1,3,0.0166460661300277,0.016645,1.0661300277256536e-06,6,12
F17,800000,800000,600,1,3,0.000551177017376,0.00075,0.0001988229826239,5,3
F18,800000,800000,6643,1,3,0.0083042574907694,0.00830375,5.07490769461813e-07,4,3
F19,800000,800000,5441,1,3,0.006801494626513,0.00680125,2.446265130271602e-07,1,3
F20,800000,800000,5308,1,3,0.0066351812450874,0.006635,1.8124508744006562e-07,4,3
F21,400000,400000,2757,1,3,0.0068926640706673,0.0068925,1.640706673534595e-07,6,6
F22,200000,200000,9665,1,3,0.0483253019168153,0.048325,3.019168153331475e-07,3,12
F23,800000,800000,6829,1,3,0.0085360818678211,0.00853625,1.681321788234852e-07,3,3
F24,800000,800000,5270,1,3,0.0065877594022343,0.0065875,2.5940223438367105e-07,3,3
F25,200000,200000,2327,1,3,0.0116348402789929,0.011635,1.5972100702449368e-07,1,12
F26,50000,50000,2656,1,3,0.0531209569486932,0.05312,9.569486932314852e-07,4,48
F27,400000,400000,1215,1,3,0.0030379503246511,0.0030375,4.503246511509442e-07,3,6
F28,200000,200000,5904,1,3,0.029520301745063,0.02952,3.017450630922458e-07,4,12
F29,400000,400000,6605,1,3,0.0165124808490402,0.0165125,1.9150959776337292e-08,7,6
F30,100000,100000,4752,1,3,0.0475192296913443,0.04752,7.703086556329342e-07,6,24
F31,800000,800000,600,1,3,0.0002240420275332,0.00075,0.0005259579724667,5,3
F32,800000,800000,1022,1,3,0.0012780172338552,0.0012775,5.172338552331471e-07,5,3
F33,800000,800000,10755,1,3,0.0134436303367538,0.01344375,1.196632461140934e-07,2,3
F34,800000,800000,9697,1,3,0.0121211064354608,0.01212125,1.4356453917341305e-07,3,3
F35,800000,800000,3727,1,3,0.0046590598644655,0.00465875,3.098644655204208e-07,2,3
F36,200000,200000,7397,1,3,0.0369854721773855,0.036985,4.721773855728695e-07,3,12
F37,800000,800000,1766,1,3,0.0022071903164919,0.0022075,3.09683508086054e-07,7,3
F38,800000,800000,6281,1,3,0.0078511766781744,0.00785125,7.332182555205846e-08,5,3
F39,800000,800000,4102,1,3,0.005127895858464,0.0051275,3.958584640709195e-07,6,3
F40,400000,400000,3303,1,3,0.0082577538559845,0.0082575,2.538559845405991e-07,2,6
F41,800000,800000,600,1,3,6.893173694430543e-05,0.00075,0.0006810682630556,3,3
F42,800000,800000,4846,1,3,0.0060571616732892,0.0060575,3.383267107928689e-07,5,3
F43,200000,200000,4259,1,3,0.0212943909787113,0.021295,6.090212886986079e-07,5,12
F44,200000,200000,10009,1,3,0.0500441983613682,0.050045,8.016386317186153e-07,4,12
F45,100000,100000,3157,1,3,0.0315691062994958,0.03157,8.93700504128736e-07,5,24
F46,100000,100000,6001,1,3,0.0600121941615237,0.06001,2.194161523756677e-06,4,24
F47,50000,50000,794,1,3,0.0158808614673677,0.01588,8.614673677152795e-07,5,48
F48,400000,400000,2301,1,3,0.0057524839532387,0.0057525,1.6046761258312062e-08,7,6
