Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,800000,800000,7859,1,3,0.0098237191963874,0.00982375,3.0803612528773616e-08,5,3
F2,800000,800000,2547,1,3,0.0031836384837162,0.00318375,1.1151628372205875e-07,4,3
F3,400000,400000,11026,1,3,0.0275646039102536,0.027565,3.9608974638366556e-07,4,6
F4,800000,800000,1699,1,3,0.00212347386919,0.00212375,2.761308099045838e-07,1,3
F5,200000,200000,8053,1,3,0.040263816817365,0.040265,1.183182634985347e-06,7,12
F6,800000,800000,6243,1,3,0.0078039943417431,0.00780375,2.4434174317015944e-07,1,3
F7,800000,800000,600,1,3,0.0003516948335415,0.00075,0.0003983051664584,3,3
F8,400000,400000,782,1,3,0.0019552600807486,0.001955,2.600807486440732e-07,6,6
F9,800000,800000,8659,1,3,0.0108232587350123,0.01082375,4.912649876689934e-07,1,3
F10,400000,400000,11291,1,3,0.028226767395545,0.0282275,7.326044549164912e-07,2,6
F11,400000,400000,6063,1,3,0.0151566906969297,0.0151575,8.093030702920057e-07,7,6
F12,400000,400000,9082,1,3,0.0227041366978689,0.022705,8.633021310287814e-07,2,6
F13,400000,400000,3062,1,3,0.0076554864530862,0.007655,4.864530862239841e-07,4,6
F14,100000,100000,6665,1,3,0.0666526099706936,0.06665,2.609970693664976e-06,1,24
F15,400000,400000,648,1,3,0.001620484938533,0.00162,4.849385330622791e-07,2,6
F16,800000,800000,6083,1,3,0.0076031990898042,0.00760375,5.509101957757237e-07,7,3
F17,400000,400000,5763,1,3,0.0144071877725382,0.0144075,3.122274617566035e-07,2,6
F18,800000,800000,5644,1,3,0.0070547822679642,0.007055,2.1773203570055882e-07,2,3
F19,100000,100000,6069,1,3,0.0606929424973322,0.06069,2.942497332257543e-06,4,24
F20,200000,200000,1795,1,3,0.0089754744803093,0.008975,4.744803093308103e-07,3,12
F21,800000,800000,10221,1,3,0.0127761324619715,0.01277625,1.1753802848721297e-07,3,3
F22,800000,800000,8227,1,3,0.010283644512981,0.01028375,1.0548701897226953e-07,6,3
F23,400000,400000,1988,1,3,0.004969410817423,0.00497,5.891825769184858e-07,5,6
F24,800000,800000,11053,1,3,0.0138162661339367,0.01381625,1.6133936771647872e-08,5,3
F25,200000,200000,7083,1,3,0.0354140124409113,0.035415,9.875590886443408e-07,4,12
F26,400000,400000,11479,1,3,0.0286969436391342,0.0286975,5.563608657804808e-07,1,6
F27,400000,400000,8241,1,3,0.0206032321990813,0.0206025,7.321990813900781e-07,1,6
F28,800000,800000,3601,1,3,0.0045013092879188,0.00450125,5.92879188087564e-08,7,3
F29,800000,800000,3234,1,3,0.0040430060524095,0.0040425,5.060524095367239e-07,5,3
F30,400000,400000,10247,1,3,0.0256183823538658,0.0256175,8.823538658747632e-07,1,6
F31,800000,800000,3771,1,3,0.004714326305267,0.00471375,5.76305267080239e-07,3,3
F32,800000,800000,5792,1,3,0.0072405852577893,0.00724,5.85257789311594e-07,6,3
F33,200000,200000,4629,1,3,0.0231440611571712,0.023145,9.388428287293582e-07,7,12
F34,50000,50000,5173,1,3,0.103463738090996,0.10346,3.738090996047161e-06,1,48
F35,400000,400000,4004,1,3,0.010009394025348,0.01001,6.059746519935377e-07,2,6
F36,50000,50000,3114,1,3,0.0622760831327213,0.06228,3.916867278630498e-06,7,48
F37,800000,800000,11587,1,3,0.014484049086004,0.01448375,2.990860040082144e-07,6,3
F38,800000,800000,1697,1,3,0.0021209780595123,0.00212125,2.719404876092707e-07,3,3
F39,800000,800000,946,1,3,0.0011825110832683,0.0011825,1.1083268389427275e-08,2,3
F40,100000,100000,1187,1,3,0.0118704240188326,0.01187,4.240188326478517e-07,4,24
F41,200000,200000,8379,1,3,0.041894550545456,0.041895,4.494545439853726e-07,1,12
F42,800000,800000,1130,1,3,0.0014123211815445,0.0014125,1.788184554624584e-07,1,3
F43,200000,200000,991,1,3,0.0049549529182805,0.004955,4.7081719452800326e-08,1,12
F44,100000,100000,2078,1,3,0.0207807123426322,0.02078,7.123426322766524e-07,4,24
F45,800000,800000,3781,1,3,0.004726789746618,0.00472625,5.397466180329449e-07,4,3
F46,800000,800000,8358,1,3,0.0104473348528594,0.0104475,1.6514714056177493e-07,7,3
F47,50000,50000,1423,1,3,0.0284587955974294,0.02846,1.2044025705405803e-06,7,48
F48,50000,50000,853,1,3,0.0170606846733844,0.01706,6.846733844496911e-07,3,48
