Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,800000,800000,1909,1,3,0.0023861048050282,0.00238625,1.451949717891539e-07,3,3
F2,400000,400000,4193,1,3,0.0104819191486824,0.0104825,5.808513175390578e-07,5,6
F3,800000,800000,1256,1,3,0.0015699330766429,0.00157,6.692335700691186e-08,4,3
F4,200000,200000,7785,1,3,0.0389274928875471,0.038925,2.4928875471535994e-06,6,12
F5,100000,100000,3642,1,3,0.036421700081998,0.03642,1.700081998075309e-06,2,24
F6,400000,400000,3893,1,3,0.0097327342780199,0.0097325,2.342780199057065e-07,1,6
F7,800000,800000,1525,1,3,0.0019061392688912,0.00190625,1.107311087284596e-07,6,3
F8,800000,800000,1126,1,3,0.0014072803501954,0.0014075,2.1964980456094105e-07,5,3
F9,100000,100000,5207,1,3,0.05206897653447,0.05207,1.023465529929879e-06,2,24
F10,800000,800000,2329,1,3,0.0029114522440553,0.00291125,2.022440553123457e-07,7,3
F11,200000,200000,3229,1,3,0.0161444895463011,0.016145,5.104536989000708e-07,2,12
F12,200000,200000,3830,1,3,0.0191494192106963,0.01915,5.807893036502421e-07,6,12
F13,400000,400000,9861,1,3,0.024651852756435,0.0246525,6.472435650009545e-07,4,6
F14,400000,400000,6459,1,3,0.0161474474459796,0.0161475,5.2554020375100714e-08,6,6
F15,800000,800000,2164,1,3,0.0027052919648754,0.002705,2.919648754559287e-07,1,3
F16,400000,400000,8144,1,3,0.0203588499710003,0.02036,1.1500289996517477e-06,3,6
F17,800000,800000,3253,1,3,0.0040659489160734,0.00406625,3.010839265196741e-07,4,3
F18,800000,800000,9307,1,3,0.0116340066468594,0.01163375,2.566468594294297e-07,7,3
F19,200000,200000,3474,1,3,0.0173692844083556,0.01737,7.155916443880861e-07,2,12
F20,800000,800000,8144,1,3,0.0101804232560113,0.01018,4.232560113174439e-07,7,3
F21,800000,800000,5161,1,3,0.0064518604436745,0.00645125,6.10443674517111e-07,6,3
F22,100000,100000,3184,1,3,0.0318393029348025,0.03184,6.970651974733122e-07,4,24
F23,100000,100000,2307,1,3,0.023070739445908,0.02307,7.394459080947713e-07,7,24
F24,200000,200000,7395,1,3,0.0369751442982552,0.036975,1.4429825526823814e-07,4,12
F25,800000,800000,10458,1,3,0.0130724184197295,0.0130725,8.15802704418056e-08,4,3
F26,800000,800000,4423,1,3,0.005528546079022,0.00552875,2.039209779100895e-07,2,3
F27,100000,100000,3043,1,3,0.0304306188909677,0.03043,6.18890967765684e-07,3,24
F28,800000,800000,2657,1,3,0.0033213566061867,0.00332125,1.0660618670948684e-07,3,3
F29,400000,400000,11101,1,3,0.0277515282667138,0.0277525,9.717332861564063e-07,2,6
F30,800000,800000,5590,1,3,0.0069877120652687,0.0069875,2.1206526876985798e-07,4,3
F31,800000,800000,2481,1,3,0.003101346508955,0.00310125,9.650895504975665e-08,6,3
F32,400000,400000,9833,1,3,0.0245831605813784,0.0245825,6.605813784935077e-07,3,6
F33,800000,800000,6137,1,3,0.0076709110400166,0.00767125,3.38959983396496e-07,3,3
F34,800000,800000,600,1,3,0.000117209302872,0.00075,0.0006327906971279,1,3
F35,400000,400000,915,1,3,0.0022871807271275,0.0022875,3.192728724198992e-07,2,6
F36,200000,200000,10289,1,3,0.0514443507351908,0.051445,6.492648091729891e-07,2,12
F37,50000,50000,1148,1,3,0.0229610869364812,0.02296,1.086936481244083e-06,6,48
F38,100000,100000,4541,1,3,0.0454100819971664,0.04541,8.199716642481869e-08,2,24
F39,800000,800000,3429,1,3,0.0042862587751898,0.00428625,8.775189816109807e-09,5,3
F40,400000,400000,8610,1,3,0.021524391786049,0.021525,6.082139509637485e-07,7,6
F41,400000,400000,9901,1,3,0.0247520329791377,0.0247525,4.670208622777061e-07,6,6
F42,100000,100000,3706,1,3,0.0370616407600563,0.03706,1.640760056299817e-06,2,24
F43,50000,50000,2113,1,3,0.0422589801729394,0.04226,1.0198270605291104e-06,2,48
F44,100000,100000,3515,1,3,0.0351518955196428,0.03515,1.895519642844401e-06,6,24
F45,400000,400000,9007,1,3,0.0225172329559071,0.0225175,2.670440928491391e-07,2,6
F46,400000,400000,8799,1,3,0.0219969434717116,0.0219975,5.565282883389366e-07,4,6
F47,800000,800000,2506,1,3,0.0031322230381979,0.0031325,2.769618020013326e-07,2,3
F48,200000,200000,2734,1,3,0.0136696519291723,0.01367,3.480708276465405e-07,3,12
