Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,200000,200000,7757,1,3,0.0387850925871883,0.038785,9.258718831894885e-08,2,6
F2,400000,400000,9929,1,3,0.024822453365399,0.0248225,4.6634600989886594e-08,2,3
F3,400000,400000,10753,1,3,0.0268824936327205,0.0268825,6.367279450220087e-09,2,3
F4,200000,200000,10110,1,3,0.0505495264710232,0.05055,4.735289767104911e-07,2,6
F5,200000,200000,8305,1,3,0.0415257959949798,0.041525,7.959949798533317e-07,2,6
F6,400000,400000,3017,1,3,0.0075421498094856,0.0075425,3.501905143565507e-07,6,3
F7,400000,400000,3887,1,3,0.0097167350546416,0.0097175,7.649453583440102e-07,4,3
F8,200000,200000,7900,1,3,0.0394975454893297,0.0395,2.454510670289733e-06,2,6
F9,400000,400000,3453,1,3,0.0086327926411341,0.0086325,2.92641134146468e-07,5,3
F10,200000,200000,6386,1,3,0.031927528934743,0.03193,2.471065256956506e-06,2,6
F11,400000,400000,9087,1,3,0.0227168596001476,0.0227175,6.403998523141219e-07,2,3
F12,400000,400000,9441,1,3,0.0236021268208747,0.0236025,3.731791252403749e-07,2,3
F13,200000,200000,3585,1,3,0.0179237730455905,0.017925,1.2269544094924143e-06,5,6
F14,200000,200000,6085,1,3,0.0304244861723501,0.030425,5.1382764983815e-07,2,6
F15,400000,400000,8353,1,3,0.0208814578087986,0.0208825,1.0421912013669488e-06,4,3
F16,400000,400000,600,1,3,0.000868380374998,0.0015,0.0006316196250019,7,3
F17,400000,400000,694,1,3,0.0017341054466116,0.001735,8.945533883776384e-07,4,3
F18,400000,400000,4945,1,3,0.0123615830478198,0.0123625,9.169521801872388e-07,4,3
F19,200000,200000,8041,1,3,0.0402044454672955,0.040205,5.545327044845227e-07,2,6
F20,400000,400000,5181,1,3,0.0129533973062979,0.0129525,8.973062979641261e-07,5,3
F21,400000,400000,600,1,3,0.0005785640097799,0.0015,0.00092143599022,4,3
F22,400000,400000,3280,1,3,0.0082000321325386,0.0082,3.2132538614268464e-08,2,3
F23,400000,400000,2457,1,3,0.006142835706433,0.0061425,3.3570643309145665e-07,2,3
F24,400000,400000,4366,1,3,0.0109144610880482,0.010915,5.389119517220514e-07,1,3
F25,200000,200000,2540,1,3,0.0126995091975908,0.0127,4.908024091691832e-07,2,6
F26,400000,400000,5815,1,3,0.0145363821146376,0.0145375,1.1178853623530075e-06,3,3
F27,400000,400000,600,1,3,0.0008389578176798,0.0015,0.0006610421823201,7,3
F28,100000,100000,1649,1,3,0.0164901933275228,0.01649,1.933275228273301e-07,4,12
F29,400000,400000,600,1,3,0.00134727020103,0.0015,0.0001527297989699,1,3
F30,200000,200000,3383,1,3,0.0169154063832574,0.016915,4.063832574480175e-07,2,6
F31,400000,400000,2018,1,3,0.0050445638122565,0.005045,4.3618774345829253e-07,6,3
F32,400000,400000,604,1,3,0.0015100383707938,0.00151,3.837079383135073e-08,4,3
F33,400000,400000,600,1,3,0.0004760411107331,0.0015,0.0010239588892668,6,3
F34,200000,200000,8110,1,3,0.0405481219323384,0.04055,1.878067661581495e-06,2,6
F35,400000,400000,9121,1,3,0.0228036773660464,0.0228025,1.177366046493239e-06,4,3
F36,400000,400000,2199,1,3,0.0054975288705043,0.0054975,2.8870504364779392e-08,5,3
F37,400000,400000,600,1,3,0.0014033924835689,0.0015,9.660751643103408e-05,5,3
F38,200000,200000,3178,1,3,0.0158897681401637,0.01589,2.318598362888169e-07,2,6
F39,400000,400000,600,1,3,0.0009590715643689,0.0015,0.000540928435631,4,3
F40,200000,200000,9583,1,3,0.0479141347410533,0.047915,8.652589466584537e-07,2,6
F41,400000,400000,3069,1,3,0.0076716351313968,0.0076725,8.648686031518041e-07,3,3
F42,200000,200000,948,1,3,0.0047388143205781,0.00474,1.1856794218034414e-06,1,6
F43,200000,200000,1286,1,3,0.0064291358402575,0.00643,8.641597424949993e-07,3,6
F44,400000,400000,6481,1,3,0.0162032423780581,0.0162025,7.423780581175543e-07,1,3
F45,400000,400000,4354,1,3,0.0108846141780218,0.010885,3.858219781525257e-07,6,3
F46,400000,400000,6197,1,3,0.0154926234407763,0.0154925,1.2344077635062514e-07,5,3
F47,400000,400000,4152,1,3,0.0103799261990032,0.01038,7.380099679987763e-08,1,3
F48,200000,200000,8617,1,3,0.0430834044556806,0.043085,1.5955443193257923e-06,2,6
