Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,400000,400000,5355,1,3,0.0133870669457042,0.0133875,4.330542957599326e-07,1,3
F2,400000,400000,2819,1,3,0.0070484603929987,0.0070475,9.603929987788556e-07,7,3
F3,400000,400000,834,1,3,0.0020838141397591,0.002085,1.185860240889708e-06,6,3
F4,200000,200000,9107,1,3,0.045537135714878,0.045535,2.135714878052919e-06,3,6
F5,200000,200000,8338,1,3,0.0416880342249478,0.04169,1.965775052174823e-06,6,6
F6,400000,400000,600,1,3,0.000647656991775,0.0015,0.0008523430082249,1,3
F7,400000,400000,2771,1,3,0.0069264364920235,0.0069275,1.0635079764863276e-06,3,3
F8,400000,400000,1687,1,3,0.0042163473190096,0.0042175,1.152680990338696e-06,5,3
F9,400000,400000,11983,1,3,0.029957276486999,0.0299575,2.235130009166364e-07,2,3
F10,200000,200000,10116,1,3,0.0505797459572412,0.05058,2.5404275875995364e-07,3,6
F11,200000,200000,7131,1,3,0.0356562299389466,0.035655,1.2299389466827182e-06,6,6
F12,400000,400000,1248,1,3,0.003120747426371,0.00312,7.474263710289218e-07,7,3
F13,200000,200000,7981,1,3,0.0399064167750665,0.039905,1.4167750665636247e-06,3,6
F14,400000,400000,5842,1,3,0.0146040058176343,0.014605,9.941823656753337e-07,3,3
F15,400000,400000,3279,1,3,0.0081973953590595,0.0081975,1.0464094049936201e-07,1,3
F16,400000,400000,600,1,3,0.0007926718215012,0.0015,0.0007073281784987,7,3
F17,200000,200000,8003,1,3,0.0400134325752496,0.040015,1.567424750360813e-06,6,6
F18,200000,200000,7338,1,3,0.0366901941433799,0.03669,1.941433799834691e-07,2,6
F19,400000,400000,4037,1,3,0.0100917636740568,0.0100925,7.363259431590607e-07,2,3
F20,400000,400000,5469,1,3,0.0136723060538711,0.0136725,1.9394612884790496e-07,4,3
F21,200000,200000,4510,1,3,0.0225511909814145,0.02255,1.190981414503356e-06,2,6
F22,400000,400000,9597,1,3,0.0239929596648905,0.0239925,4.596648905674794e-07,6,3
F23,100000,100000,2028,1,3,0.0202804061256091,0.02028,4.0612560910785467e-07,1,12
F24,400000,400000,600,1,3,0.0013837517269098,0.0015,0.0001162482730901,2,3
F25,200000,200000,2702,1,3,0.0135101913792869,0.01351,1.9137928699598797e-07,2,6
F26,400000,400000,8933,1,3,0.0223326152694892,0.0223325,1.152694892626871e-07,4,3
F27,200000,200000,6912,1,3,0.0345617136821994,0.03456,1.713682199457056e-06,3,6
F28,400000,400000,6279,1,3,0.0156962554637593,0.0156975,1.244536240643107e-06,2,3
F29,400000,400000,8741,1,3,0.0218513976080425,0.0218525,1.1023919575005314e-06,3,3
F30,400000,400000,4037,1,3,0.0100918669184553,0.0100925,6.330815446563276e-07,4,3
F31,400000,400000,2437,1,3,0.0060917806982728,0.0060925,7.193017271247756e-07,6,3
F32,400000,400000,6030,1,3,0.0150751813659588,0.015075,1.813659588120048e-07,4,3
F33,400000,400000,925,1,3,0.0023129436118149,0.0023125,4.436118149161485e-07,3,3
F34,400000,400000,2273,1,3,0.0056813952487947,0.0056825,1.1047512052317354e-06,2,3
F35,400000,400000,4342,1,3,0.0108557643610008,0.010855,7.643610008579993e-07,5,3
F36,400000,400000,5769,1,3,0.0144228227479804,0.0144225,3.227479804020911e-07,6,3
F37,400000,400000,600,1,3,0.0011109422384835,0.0015,0.0003890577615164,3,3
F38,100000,100000,7639,1,3,0.0763858868853256,0.07639,4.113114674339502e-06,6,12
F39,200000,200000,2319,1,3,0.011595064296068,0.011595,6.429606803394494e-08,3,6
F40,400000,400000,689,1,3,0.0017232966911369,0.0017225,7.966911369800683e-07,4,3
F41,400000,400000,802,1,3,0.0020057583735529,0.002005,7.583735529073654e-07,5,3
F42,400000,400000,1116,1,3,0.0027892231103371,0.00279,7.768896628365315e-07,1,3
F43,400000,400000,9345,1,3,0.0233629177496215,0.0233625,4.1774962155488593e-07,3,3
F44,400000,400000,600,1,3,0.0012230432872983,0.0015,0.0002769567127016,6,3
F45,200000,200000,6845,1,3,0.0342267329409146,0.034225,1.7329409146768504e-06,4,6
F46,400000,400000,1801,1,3,0.004503680726287,0.0045025,1.1807262870677446e-06,4,3
F47,200000,200000,4252,1,3,0.0212597435998552,0.02126,2.56400144706126e-07,6,6
F48,400000,400000,5127,1,3,0.012818707840175,0.0128175,1.2078401750749423e-06,6,3
