Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,400000,400000,6299,1,3,0.0157479485253124,0.0157475,4.4852531247072114e-07,2,3
F2,400000,400000,1655,1,3,0.0041371452488611,0.0041375,3.547511388925576e-07,4,3
F3,400000,400000,600,1,3,0.0008587381358053,0.0015,0.0006412618641946,3,3
F4,400000,400000,4917,1,3,0.0122934078796119,0.0122925,9.078796119731808e-07,6,3
F5,100000,100000,2254,1,3,0.0225404826686893,0.02254,4.826686893534549e-07,6,12
F6,200000,200000,5454,1,3,0.0272702655687154,0.02727,2.655687154802522e-07,4,6
F7,200000,200000,8409,1,3,0.0420467393487935,0.042045,1.7393487935501994e-06,5,6
F8,200000,200000,2403,1,3,0.0120144503235773,0.012015,5.496764226026879e-07,1,6
F9,200000,200000,9431,1,3,0.0471562340232305,0.047155,1.2340232305452226e-06,3,6
F10,200000,200000,4306,1,3,0.0215292740386275,0.02153,7.259613724122649e-07,3,6
F11,400000,400000,1053,1,3,0.0026336990966009,0.0026325,1.1990966009389583e-06,5,3
F12,100000,100000,3151,1,3,0.0315081344189983,0.03151,1.8655810016462997e-06,3,12
F13,400000,400000,600,1,3,0.0012114194323182,0.0015,0.0002885805676817,6,3
F14,200000,200000,1110,1,3,0.0055489509082177,0.00555,1.0490917822800552e-06,4,6
F15,200000,200000,2550,1,3,0.0127498326154197,0.01275,1.6738458026750724e-07,7,6
F16,400000,400000,3156,1,3,0.0078911375940751,0.00789,1.1375940751155028e-06,5,3
F17,200000,200000,1483,1,3,0.0074142546743235,0.007415,7.453256764492627e-07,1,6
F18,100000,100000,4656,1,3,0.0465602150331938,0.04656,2.150331938552408e-07,2,12
F19,200000,200000,3025,1,3,0.0151258484971454,0.015125,8.484971454891799e-07,4,6
F20,400000,400000,2731,1,3,0.0068276496898002,0.0068275,1.4968980020790834e-07,5,3
F21,400000,400000,1539,1,3,0.0038487445856683,0.0038475,1.244585668306892e-06,2,3
F22,400000,400000,4211,1,3,0.0105267013513256,0.0105275,7.986486743934845e-07,2,3
F23,100000,100000,3203,1,3,0.0320318973522351,0.03203,1.8973522351029004e-06,3,12
F24,200000,200000,10249,1,3,0.0512463865565156,0.051245,1.386556515645121e-06,3,6
F25,200000,200000,4411,1,3,0.0220559380067114,0.022055,9.380067114601875e-07,4,6
F26,200000,200000,1671,1,3,0.0083558405487768,0.008355,8.405487768054637e-07,4,6
F27,200000,200000,3601,1,3,0.0180054573969704,0.018005,4.573969704033121e-07,6,6
F28,400000,400000,6296,1,3,0.015740746566558,0.01574,7.465665580498604e-07,5,3
F29,400000,400000,1663,1,3,0.0041579377723818,0.0041575,4.3777238182586553e-07,3,3
F30,400000,400000,7337,1,3,0.0183413810187556,0.0183425,1.1189812443475331e-06,2,3
F31,400000,400000,6401,1,3,0.0160020417827942,0.0160025,4.582172057586431e-07,1,3
F32,400000,400000,6681,1,3,0.0167033786399737,0.0167025,8.786399737885364e-07,7,3
F33,400000,400000,1658,1,3,0.0041459340506138,0.004145,9.340506138639724e-07,7,3
F34,400000,400000,8143,1,3,0.0203567110119947,0.0203575,7.889880052902587e-07,5,3
F35,400000,400000,1695,1,3,0.0042380093792094,0.0042375,5.093792094287147e-07,3,3
F36,400000,400000,3381,1,3,0.0084519339622198,0.0084525,5.660377801180311e-07,6,3
F37,400000,400000,1135,1,3,0.002837522497223,0.0028375,2.2497223021566287e-08,1,3
F38,200000,200000,5369,1,3,0.026844687838453,0.026845,3.121615469378614e-07,5,6
F39,400000,400000,5681,1,3,0.0142036091581994,0.0142025,1.1091581994041031e-06,3,3
F40,100000,100000,3997,1,3,0.0399699409981088,0.03997,5.9001891115906264e-08,4,12
F41,100000,100000,12000,1,3,0.1434591295494476,0.12,0.0234591295494476,3,12
F42,400000,400000,2454,1,3,0.0061358939603164,0.006135,8.939603164132698e-07,6,3
F43,400000,400000,3954,1,3,0.009884910769279,0.009885,8.923072090417927e-08,3,3
F44,400000,400000,1959,1,3,0.0048963105202994,0.0048975,1.1894797005496463e-06,2,3
F45,400000,400000,1275,1,3,0.0031883454336444,0.0031875,8.454336444976666e-07,6,3
F46,100000,100000,2654,1,3,0.0265399399127526,0.02654,6.008724734440919e-08,2,12
F47,200000,200000,1099,1,3,0.0054955602446634,0.005495,5.602446634667135e-07,7,6
F48,400000,400000,3603,1,3,0.0090063486864574,0.0090075,1.1513135425352675e-06,7,3
