Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,200000,200000,4339,1,3,0.0216952433881831,0.021695,2.4338818318397903e-07,1,6
F2,400000,400000,2063,1,3,0.00515676358416,0.0051575,7.364158399374501e-07,7,3
F3,400000,400000,5531,1,3,0.0138263639508969,0.0138275,1.1360491030190656e-06,6,3
F4,200000,200000,1487,1,3,0.00743602952055,0.007435,1.0295205500028895e-06,6,6
F5,400000,400000,3263,1,3,0.008156588161715,0.0081575,9.118382849494094e-07,1,3
F6,400000,400000,10886,1,3,0.0272161149974911,0.027215,1.114997491103581e-06,4,3
F7,400000,400000,10162,1,3,0.0254039566593163,0.025405,1.0433406836159176e-06,4,3
F8,100000,100000,3490,1,3,0.0349015721199815,0.0349,1.5721199815715847e-06,4,12
F9,200000,200000,4175,1,3,0.0208744506037719,0.020875,5.493962280909981e-07,4,6
F10,100000,100000,8486,1,3,0.0848619572584052,0.08486,1.95725840528016e-06,4,12
F11,400000,400000,2105,1,3,0.0052615646359631,0.0052625,9.353640368324478e-07,5,3
F12,200000,200000,6024,1,3,0.0301188913471125,0.03012,1.1086528874590384e-06,3,6
F13,400000,400000,9733,1,3,0.0243327265403452,0.0243325,2.265403452397785e-07,5,3
F14,400000,400000,600,1,3,0.0012604723787162,0.0015,0.0002395276212837,4,3
F15,200000,200000,11633,1,3,0.058163464868317,0.058165,1.535131682973978e-06,3,6
F16,100000,100000,7747,1,3,0.0774724990023124,0.07747,2.499002312458809e-06,4,12
F17,400000,400000,1459,1,3,0.003646333756396,0.0036475,1.1662436039971448e-06,1,3
F18,100000,100000,3140,1,3,0.031401652281273,0.0314,1.652281273009648e-06,4,12
F19,100000,100000,2083,1,3,0.0208294431884877,0.02083,5.568115122728257e-07,3,12
F20,100000,100000,662,1,3,0.0066187634205018,0.00662,1.2365794981169728e-06,3,12
F21,400000,400000,5441,1,3,0.0136014858528677,0.0136025,1.0141471322548667e-06,3,3
F22,400000,400000,7781,1,3,0.0194521950359728,0.0194525,3.0496402715976534e-07,6,3
F23,200000,200000,4910,1,3,0.0245506460440497,0.02455,6.460440497187137e-07,6,6
F24,400000,400000,3310,1,3,0.008273903857257,0.008275,1.0961427429293652e-06,4,3
F25,100000,100000,1263,1,3,0.0126304342590435,0.01263,4.342590435874733e-07,1,12
F26,400000,400000,600,1,3,0.0013757353852658,0.0015,0.0001242646147341,3,3
F27,400000,400000,6947,1,3,0.0173679935105173,0.0173675,4.935105173756171e-07,1,3
F28,400000,400000,4521,1,3,0.0113014495257413,0.0113025,1.0504742586972535e-06,6,3
F29,200000,200000,2408,1,3,0.0120407820272332,0.01204,7.820272332984685e-07,5,6
F30,400000,400000,600,1,3,0.0007115346079303,0.0015,0.0007884653920696,6,3
F31,400000,400000,4024,1,3,0.0100590704636031,0.01006,9.295363968681024e-07,2,3
F32,400000,400000,4415,1,3,0.0110365273767409,0.0110375,9.726232590104994e-07,3,3
F33,400000,400000,600,1,3,0.0013808147209576,0.0015,0.0001191852790423,2,3
F34,200000,200000,2563,1,3,0.0128151219561766,0.012815,1.219561766227506e-07,4,6
F35,400000,400000,1473,1,3,0.0036833410103273,0.0036825,8.410103273844699e-07,5,3
F36,200000,200000,2590,1,3,0.0129494501077858,0.01295,5.49892214107145e-07,2,6
F37,400000,400000,10403,1,3,0.0260066677420528,0.0260075,8.322579471524427e-07,3,3
F38,100000,100000,2582,1,3,0.0258212264646483,0.02582,1.22646464835105e-06,2,12
F39,200000,200000,5501,1,3,0.0275046351635749,0.027505,3.648364250430358e-07,2,6
F40,400000,400000,1671,1,3,0.0041770868580653,0.0041775,4.131419346900186e-07,2,3
F41,400000,400000,5577,1,3,0.0139428462563356,0.0139425,3.462563356003423e-07,5,3
F42,200000,200000,3778,1,3,0.0188908840909683,0.01889,8.840909683678622e-07,5,6
F43,400000,400000,6545,1,3,0.016361689723837,0.0163625,8.102761629678878e-07,4,3
F44,400000,400000,8780,1,3,0.0219505979309463,0.02195,5.979309463909066e-07,3,3
F45,400000,400000,4087,1,3,0.0102173457521782,0.0102175,1.5424782170460338e-07,7,3
F46,200000,200000,4377,1,3,0.0218843440449033,0.021885,6.559550966220296e-07,2,6
F47,400000,400000,7309,1,3,0.0182731925496412,0.0182725,6.925496412006626e-07,2,3
F48,400000,400000,600,1,3,0.0001033633162887,0.0015,0.0013966366837112,4,3
