Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,400000,400000,683,1,3,0.0017076576355513,0.0017075,1.5763555136281797e-07,5,3
F2,100000,100000,3361,1,3,0.0336124756281449,0.03361,2.4756281449545003e-06,7,12
F3,400000,400000,11547,1,3,0.0288675766068661,0.0288675,7.660686611801748e-08,2,3
F4,100000,100000,6034,1,3,0.060335867678754,0.06034,4.132321245901849e-06,7,12
F5,200000,200000,1733,1,3,0.0086638934932075,0.008665,1.1065067924923705e-06,6,6
F6,200000,200000,9687,1,3,0.0484359126763652,0.048435,9.126763652680948e-07,7,6
F7,200000,200000,2289,1,3,0.0114457356249056,0.011445,7.356249056948705e-07,2,6
F8,400000,400000,5041,1,3,0.0126016496379469,0.0126025,8.503620530352779e-07,7,3
F9,400000,400000,1877,1,3,0.0046936485707581,0.0046925,1.1485707581580448e-06,3,3
F10,400000,400000,3779,1,3,0.0094469448171965,0.0094475,5.551828034539713e-07,1,3
F11,400000,400000,1197,1,3,0.0029933932917427,0.0029925,8.932917427519928e-07,6,3
F12,400000,400000,11261,1,3,0.0281525632890145,0.0281525,6.328901449789703e-08,5,3
F13,400000,400000,3157,1,3,0.0078919753293654,0.0078925,5.246706345253538e-07,4,3
F14,400000,400000,5655,1,3,0.0141383605621472,0.0141375,8.605621472333735e-07,6,3
F15,200000,200000,1649,1,3,0.0082438990865937,0.008245,1.1009134062694298e-06,5,6
F16,400000,400000,2335,1,3,0.0058369648123517,0.0058375,5.351876482583354e-07,7,3
F17,200000,200000,8165,1,3,0.0408253493226639,0.040825,3.493226639061931e-07,7,6
F18,200000,200000,6556,1,3,0.0327775026782072,0.03278,2.497321792714613e-06,5,6
F19,400000,400000,2387,1,3,0.0059681610405222,0.0059675,6.610405222798668e-07,1,3
F20,200000,200000,1631,1,3,0.0081547452893717,0.008155,2.5471062823322066e-07,2,6
F21,200000,200000,3688,1,3,0.0184406639575073,0.01844,6.639575073734416e-07,2,6
F22,400000,400000,1415,1,3,0.0035387298967842,0.0035375,1.2298967842208283e-06,7,3
F23,200000,200000,1423,1,3,0.0071158128491329,0.007115,8.128491329854881e-07,5,6
F24,200000,200000,4223,1,3,0.0211147473513315,0.021115,2.526486684896468e-07,7,6
F25,100000,100000,3063,1,3,0.0306302525078397,0.03063,2.5250783973820856e-07,7,12
F26,200000,200000,674,1,3,0.0033691316328391,0.00337,8.683671608050204e-07,2,6
F27,400000,400000,600,1,3,0.0007770992666426,0.0015,0.0007229007333573,4,3
F28,400000,400000,5276,1,3,0.0131910990161991,0.01319,1.0990161991922265e-06,1,3
F29,200000,200000,7821,1,3,0.0391044475903735,0.039105,5.524096264308831e-07,7,6
F30,200000,200000,8035,1,3,0.040173840030857,0.040175,1.159969142947026e-06,7,6
F31,400000,400000,2881,1,3,0.007201896898261,0.0072025,6.0310173899316e-07,6,3
F32,200000,200000,6451,1,3,0.0322542275411339,0.032255,7.724588660593112e-07,7,6
F33,200000,200000,10327,1,3,0.0516349502545175,0.051635,4.9745482497143285e-08,7,6
F34,200000,200000,1148,1,3,0.0057396484919504,0.00574,3.515080495338635e-07,2,6
F35,200000,200000,2223,1,3,0.0111153960725818,0.011115,3.9607258185692107e-07,3,6
F36,100000,100000,3196,1,3,0.0319584743508255,0.03196,1.5256491744247702e-06,5,12
F37,400000,400000,5747,1,3,0.0143673821818786,0.0143675,1.1781812136492377e-07,3,3
F38,400000,400000,600,1,3,0.000758075868499,0.0015,0.0007419241315009,4,3
F39,400000,400000,600,1,3,0.0013914487664494,0.0015,0.0001085512335505,5,3
F40,100000,100000,2001,1,3,0.0200112124556957,0.02001,1.2124556957177068e-06,1,12
F41,400000,400000,6303,1,3,0.0157583868166656,0.0157575,8.868166656919585e-07,5,3
F42,400000,400000,1917,1,3,0.004791412718212,0.0047925,1.0872817879873514e-06,4,3
F43,400000,400000,9653,1,3,0.0241318304310366,0.0241325,6.69568963329592e-07,6,3
F44,200000,200000,6436,1,3,0.0321822692879968,0.03218,2.269287996882474e-06,2,6
F45,200000,200000,2392,1,3,0.0119591947238662,0.01196,8.05276133759511e-07,5,6
F46,400000,400000,3033,1,3,0.0075818309221031,0.0075825,6.690778968513125e-07,3,3
F47,200000,200000,744,1,3,0.0037193917666828,0.00372,6.082333171729057e-07,1,6
F48,200000,200000,1983,1,3,0.0099160996492977,0.009915,1.0996492977380368e-06,7,6
