Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,1424,1,2,0.003559003927632,0.00356,,3
F2,400000,400000,6861,1,2,0.0171531002563358,0.0171525,,3
F3,400000,400000,8255,1,2,0.020636850949308,0.0206375,,3
F4,200000,200000,10272,1,2,0.0513619656380586,0.05136,,3
F5,400000,400000,6789,1,2,0.0169714179598045,0.0169725,,7
F6,400000,400000,6461,1,2,0.016153639012568,0.0161525,,2
F7,400000,400000,1110,1,2,0.0027741488944959,0.002775,,4
F8,400000,400000,600,1,2,0.0006341784406808,0.0015,,2
F9,100000,100000,1375,1,2,0.0137509578192053,0.01375,,3
F10,400000,400000,7144,1,2,0.0178596928315136,0.01786,,2
F11,200000,200000,5469,1,2,0.0273446647990235,0.027345,,2
F12,100000,100000,1373,1,2,0.0137288116048546,0.01373,,7
F13,200000,200000,1613,1,2,0.0080640103248847,0.008065,,7
F14,200000,200000,1027,1,2,0.0051359815156061,0.005135,,5
F15,400000,400000,5590,1,2,0.0139748964844748,0.013975,,1
F16,200000,200000,799,1,2,0.0039944048932169,0.003995,,2
F17,400000,400000,2675,1,2,0.0066886976168055,0.0066875,,1
F18,400000,400000,7994,1,2,0.0199861274225293,0.019985,,2
F19,400000,400000,600,1,2,0.0013885088049391,0.0015,,1
F20,200000,200000,1153,1,2,0.0057650913574622,0.005765,,4
F21,400000,400000,2738,1,2,0.0068451673180416,0.006845,,3
F22,400000,400000,2395,1,2,0.0059883165478947,0.0059875,,2
F23,100000,100000,8202,1,2,0.0820230831027879,0.08202,,3
F24,400000,400000,1319,1,2,0.0032967575323462,0.0032975,,5
F25,400000,400000,1628,1,2,0.0040712085259739,0.00407,,1
F26,400000,400000,5013,1,2,0.0125315271483991,0.0125325,,1
F27,400000,400000,608,1,2,0.0015193137186702,0.00152,,3
F28,400000,400000,1973,1,2,0.0049324780646105,0.0049325,,7
F29,400000,400000,4538,1,2,0.0113438060177492,0.011345,,2
F30,200000,200000,9500,1,2,0.0474998467841411,0.0475,,2
F31,400000,400000,600,1,2,0.0008077465980184,0.0015,,7
F32,400000,400000,1290,1,2,0.0032237540934884,0.003225,,4
F33,400000,400000,1139,1,2,0.0028473026432894,0.0028475,,5
F34,400000,400000,1255,1,2,0.003137221358888,0.0031375,,6
F35,400000,400000,1735,1,2,0.0043374439940865,0.0043375,,6
F36,400000,400000,3565,1,2,0.008911345262188,0.0089125,,3
F37,400000,400000,7651,1,2,0.019128320889104,0.0191275,,3
F38,400000,400000,10609,1,2,0.0265215503136951,0.0265225,,7
F39,400000,400000,5111,1,2,0.012776413707733,0.0127775,,4
F40,200000,200000,8149,1,2,0.0407449041977326,0.040745,,3
F41,400000,400000,600,1,2,0.0001572399533013,0.0015,,3
F42,400000,400000,7229,1,2,0.0180728897088331,0.0180725,,7
F43,400000,400000,600,1,2,0.0006537678633159,0.0015,,6
F44,400000,400000,600,1,2,2.217592948923139e-05,0.0015,,2
F45,400000,400000,2751,1,2,0.0068777021994078,0.0068775,,6
F46,400000,400000,1672,1,2,0.0041806811884096,0.00418,,7
F47,100000,100000,706,1,2,0.0070595491954602,0.00706,,4
F48,400000,400000,600,1,2,0.0001746870864692,0.0015,,1
