Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,600,1,3,8.96973637132259e-05,0.0015,,3
F2,50000,50000,1798,1,3,0.035961041709461,0.03596,,2
F3,100000,100000,3813,1,3,0.0381297308763194,0.03813,,3
F4,400000,400000,6439,1,3,0.0160963269029477,0.0160975,,6
F5,400000,400000,1391,1,3,0.0034778893535601,0.0034775,,7
F6,200000,200000,5839,1,3,0.0291952285007396,0.029195,,3
F7,400000,400000,9875,1,3,0.0246871113998383,0.0246875,,7
F8,50000,50000,7868,1,3,0.1573658169500925,0.15736,,3
F9,400000,400000,6129,1,3,0.0153226666944601,0.0153225,,5
F10,400000,400000,600,1,3,0.0011747673706551,0.0015,,4
F11,400000,400000,1001,1,3,0.0025016483269779,0.0025025,,4
F12,100000,100000,3629,1,3,0.0362880712206535,0.03629,,7
F13,400000,400000,991,1,3,0.0024782319080417,0.0024775,,1
F14,400000,400000,6158,1,3,0.0153939337129614,0.015395,,7
F15,200000,200000,1022,1,3,0.0051107659888653,0.00511,,6
F16,400000,400000,600,1,3,0.001242806713015,0.0015,,6
F17,200000,200000,9921,1,3,0.0496045908571644,0.049605,,5
F18,400000,400000,2818,1,3,0.0070443483808131,0.007045,,2
F19,400000,400000,10769,1,3,0.026921685533412,0.0269225,,4
F20,400000,400000,11067,1,3,0.0276682312094628,0.0276675,,2
F21,400000,400000,9590,1,3,0.0239750509188149,0.023975,,5
F22,400000,400000,9233,1,3,0.0230817633892575,0.0230825,,2
F23,400000,400000,962,1,3,0.0024039581506529,0.002405,,2
F24,200000,200000,6047,1,3,0.0302354644548352,0.030235,,7
F25,400000,400000,3428,1,2,0.0085698949809382,0.00857,,6
F26,100000,100000,1333,1,2,0.0133293348511326,0.01333,,2
F27,100000,100000,3213,1,2,0.0321295795937994,0.03213,,6
F28,400000,400000,600,1,2,0.0011611235533777,0.0015,,1
F29,200000,200000,6326,1,2,0.0316286079524177,0.03163,,5
F30,200000,200000,8033,1,2,0.0401637664104933,0.040165,,5
F31,400000,400000,2927,1,2,0.0073163834729587,0.0073175,,3
F32,400000,400000,600,1,2,0.0008499544452337,0.0015,,7
F33,400000,400000,10209,1,2,0.0255233973158132,0.0255225,,6
F34,400000,400000,1020,1,2,0.0025500478293394,0.00255,,6
F35,400000,400000,1635,1,2,0.004087648969683,0.0040875,,3
F36,400000,400000,653,1,2,0.0016331419870198,0.0016325,,7
F37,200000,200000,1313,1,2,0.0065642481785198,0.006565,,5
F38,200000,200000,4826,1,2,0.0241303240448576,0.02413,,3
F39,100000,100000,2072,1,2,0.0207212381031104,0.02072,,4
F40,400000,400000,3341,1,2,0.0083519541306154,0.0083525,,5
F41,50000,50000,3875,1,2,0.0775029747940366,0.0775,,7
F42,400000,400000,3171,1,2,0.0079272864129963,0.0079275,,4
F43,400000,400000,8277,1,2,0.0206916765357262,0.0206925,,3
F44,400000,400000,4889,1,2,0.0122230771932336,0.0122225,,7
F45,200000,200000,979,1,2,0.0048959554033135,0.004895,,4
F46,100000,100000,7653,1,2,0.076528614687645,0.07653,,3
F47,400000,400000,1945,1,2,0.0048628355090117,0.0048625,,1
F48,400000,400000,917,1,2,0.0022929120261349,0.0022925,,5
