Flow,Period,Deadline,Execution Time,m,k,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,3398,1,3,0.0084940619441127,0.008495,,2
F2,400000,400000,3501,1,3,0.0087528154120988,0.0087525,,4
F3,200000,200000,6179,1,3,0.0308939451262811,0.030895,,3
F4,400000,400000,1449,1,3,0.0036227236889422,0.0036225,,2
F5,200000,200000,6609,1,3,0.0330461891739239,0.033045,,6
F6,100000,100000,1367,1,3,0.0136711237981727,0.01367,,6
F7,400000,400000,6873,1,3,0.0171834359304396,0.0171825,,1
F8,200000,200000,1815,1,3,0.0090746447916763,0.009075,,5
F9,400000,400000,783,1,3,0.0019564748936724,0.0019575,,4
F10,400000,400000,10849,1,3,0.0271237300362708,0.0271225,,2
F11,50000,50000,3611,1,3,0.0722236551940749,0.07222,,3
F12,400000,400000,7096,1,3,0.0177396031624987,0.01774,,2
F13,400000,400000,7478,1,3,0.0186956904659191,0.018695,,1
F14,200000,200000,8317,1,3,0.0415864485523802,0.041585,,3
F15,200000,200000,6534,1,3,0.0326714396145086,0.03267,,6
F16,200000,200000,5692,1,3,0.0284609451755407,0.02846,,3
F17,400000,400000,1763,1,3,0.004407914960258,0.0044075,,3
F18,400000,400000,600,1,3,0.001122427331726,0.0015,,1
F19,400000,400000,9145,1,3,0.0228635797610822,0.0228625,,1
F20,200000,200000,4303,1,3,0.0215139028764583,0.021515,,6
F21,400000,400000,4869,1,3,0.0121733233381153,0.0121725,,2
F22,400000,400000,5589,1,3,0.013972354608701,0.0139725,,3
F23,200000,200000,9501,1,3,0.0475058380489624,0.047505,,6
F24,400000,400000,4384,1,3,0.0109608670903658,0.01096,,4
F25,200000,200000,4005,1,2,0.0200260027519139,0.020025,,2
F26,50000,50000,4027,1,2,0.0805365980759474,0.08054,,3
F27,400000,400000,1841,1,2,0.004602222090934,0.0046025,,1
F28,200000,200000,7635,1,2,0.0381773972475095,0.038175,,3
F29,400000,400000,1635,1,2,0.0040864248368796,0.0040875,,7
F30,100000,100000,2481,1,2,0.0248104593301431,0.02481,,3
F31,400000,400000,5849,1,2,0.0146215796464408,0.0146225,,7
F32,100000,100000,2048,1,2,0.0204788605304577,0.02048,,3
F33,200000,200000,4806,1,2,0.0240299009605579,0.02403,,2
F34,400000,400000,10658,1,2,0.0266455928087096,0.026645,,6
F35,400000,400000,7205,1,2,0.0180120511483474,0.0180125,,6
F36,400000,400000,3810,1,2,0.0095252767405903,0.009525,,1
F37,400000,400000,7449,1,2,0.0186213330848739,0.0186225,,3
F38,400000,400000,1980,1,2,0.0049494148864254,0.00495,,6
F39,200000,200000,5642,1,2,0.0282106544444361,0.02821,,6
F40,400000,400000,10763,1,2,0.0269082402829365,0.0269075,,3
F41,200000,200000,4983,1,2,0.0249148197974618,0.024915,,2
F42,400000,400000,2125,1,2,0.0053132263862849,0.0053125,,3
F43,400000,400000,600,1,2,0.0002281033838962,0.0015,,5
F44,100000,100000,660,1,2,0.0066003466777598,0.0066,,7
F45,200000,200000,8205,1,2,0.0410274654154876,0.041025,,6
F46,200000,200000,10428,1,2,0.0521408539813629,0.05214,,3
F47,400000,400000,1782,1,2,0.0044540037729885,0.004455,,6
F48,100000,100000,2441,1,2,0.0244100699293199,0.02441,,6
